E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0035635E+00,5.33762E+01,2.0321E+01,2.9434E+03,8.7281E+00,2.9521E+03,0.000E-01,6.188E-01
2.0135813E+00,5.34641E+01,2.0195E+01,2.9106E+03,8.7236E+00,2.9193E+03,0.000E-01,6.157E-01
2.0236492E+00,5.35507E+01,2.0070E+01,2.8782E+03,8.7189E+00,2.8869E+03,0.000E-01,6.127E-01
2.0337675E+00,5.36360E+01,1.9946E+01,2.8462E+03,8.7141E+00,2.8549E+03,0.000E-01,6.096E-01
2.0439363E+00,5.37201E+01,1.9822E+01,2.8145E+03,8.7091E+00,2.8232E+03,0.000E-01,6.066E-01
2.0541560E+00,5.40324E+01,1.9699E+01,2.7831E+03,8.7040E+00,2.7918E+03,0.000E-01,6.036E-01
2.0644268E+00,5.41145E+01,1.9571E+01,2.7512E+03,8.6988E+00,2.7599E+03,0.000E-01,6.006E-01
2.0747489E+00,5.41948E+01,1.9443E+01,2.7196E+03,8.6935E+00,2.7283E+03,0.000E-01,5.976E-01
2.0851227E+00,5.42733E+01,1.9316E+01,2.6883E+03,8.6880E+00,2.6970E+03,0.000E-01,5.946E-01
2.0955483E+00,5.43502E+01,1.9189E+01,2.6575E+03,8.6824E+00,2.6662E+03,0.000E-01,5.917E-01
2.1060260E+00,5.45801E+01,1.9062E+01,2.6268E+03,8.6766E+00,2.6355E+03,0.000E-01,5.887E-01
2.1165562E+00,5.46540E+01,1.8933E+01,2.5960E+03,8.6707E+00,2.6047E+03,0.000E-01,5.858E-01
2.1271389E+00,5.47261E+01,1.8805E+01,2.5656E+03,8.6647E+00,2.5743E+03,0.000E-01,5.829E-01
2.1377746E+00,5.47965E+01,1.8678E+01,2.5356E+03,8.6585E+00,2.5442E+03,0.000E-01,5.800E-01
2.1484635E+00,5.48651E+01,1.8551E+01,2.5058E+03,8.6523E+00,2.5144E+03,0.000E-01,5.771E-01
2.1592058E+00,5.49318E+01,1.8424E+01,2.4763E+03,8.6458E+00,2.4849E+03,0.000E-01,5.742E-01
2.1700018E+00,5.49968E+01,1.8298E+01,2.4471E+03,8.6393E+00,2.4558E+03,0.000E-01,5.714E-01
2.1808519E+00,5.50600E+01,1.8173E+01,2.4183E+03,8.6326E+00,2.4270E+03,0.000E-01,5.685E-01
2.1917561E+00,5.51217E+01,1.8049E+01,2.3899E+03,8.6258E+00,2.3985E+03,0.000E-01,5.657E-01
2.2027149E+00,5.51819E+01,1.7926E+01,2.3617E+03,8.6189E+00,2.3704E+03,0.000E-01,5.629E-01
2.2137285E+00,5.52405E+01,1.7803E+01,2.3339E+03,8.6118E+00,2.3425E+03,0.000E-01,5.601E-01
2.2247971E+00,5.52978E+01,1.7682E+01,2.3065E+03,8.6046E+00,2.3151E+03,0.000E-01,5.573E-01
2.2359211E+00,5.53536E+01,1.7561E+01,2.2793E+03,8.5973E+00,2.2879E+03,0.000E-01,5.545E-01
2.2471007E+00,5.54081E+01,1.7441E+01,2.2525E+03,8.5899E+00,2.2610E+03,0.000E-01,5.518E-01
2.2583362E+00,5.54613E+01,1.7322E+01,2.2259E+03,8.5823E+00,2.2345E+03,0.000E-01,5.490E-01
2.2696279E+00,5.55133E+01,1.7201E+01,2.1994E+03,8.5746E+00,2.2080E+03,0.000E-01,5.463E-01
2.2809760E+00,5.55640E+01,1.7081E+01,2.1732E+03,8.5667E+00,2.1818E+03,0.000E-01,5.436E-01
2.2923809E+00,5.56134E+01,1.6961E+01,2.1473E+03,8.5588E+00,2.1558E+03,0.000E-01,5.409E-01
2.3038428E+00,5.56614E+01,1.6843E+01,2.1216E+03,8.5507E+00,2.1302E+03,0.000E-01,5.382E-01
2.3153620E+00,5.57083E+01,1.6725E+01,2.0963E+03,8.5425E+00,2.1049E+03,0.000E-01,5.355E-01
2.3269388E+00,5.57540E+01,1.6608E+01,2.0713E+03,8.5342E+00,2.0798E+03,0.000E-01,5.328E-01
2.3385735E+00,5.57984E+01,1.6492E+01,2.0466E+03,8.5257E+00,2.0551E+03,0.000E-01,5.302E-01
2.3502664E+00,5.58418E+01,1.6377E+01,2.0222E+03,8.5172E+00,2.0307E+03,0.000E-01,5.275E-01
