E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0004844E+00,6.05161E+01,1.2864E+01,1.2947E+03,1.1933E+01,1.3066E+03,0.000E-01,6.198E-01
2.0104868E+00,6.04632E+01,1.2790E+01,1.2809E+03,1.1930E+01,1.2928E+03,0.000E-01,6.167E-01
2.0205393E+00,6.04077E+01,1.2717E+01,1.2672E+03,1.1928E+01,1.2791E+03,0.000E-01,6.136E-01
2.0306420E+00,6.03497E+01,1.2644E+01,1.2537E+03,1.1925E+01,1.2656E+03,0.000E-01,6.106E-01
2.0407952E+00,6.02891E+01,1.2572E+01,1.2403E+03,1.1922E+01,1.2523E+03,0.000E-01,6.075E-01
2.0509992E+00,6.02259E+01,1.2500E+01,1.2271E+03,1.1919E+01,1.2390E+03,0.000E-01,6.045E-01
2.0612542E+00,6.01601E+01,1.2429E+01,1.2141E+03,1.1916E+01,1.2260E+03,0.000E-01,6.015E-01
2.0715604E+00,6.00915E+01,1.2358E+01,1.2012E+03,1.1913E+01,1.2131E+03,0.000E-01,5.985E-01
2.0819182E+00,6.00200E+01,1.2288E+01,1.1884E+03,1.1909E+01,1.2003E+03,0.000E-01,5.955E-01
2.0923278E+00,5.99458E+01,1.2219E+01,1.1758E+03,1.1905E+01,1.1877E+03,0.000E-01,5.926E-01
2.1027895E+00,5.98685E+01,1.2149E+01,1.1633E+03,1.1901E+01,1.1752E+03,0.000E-01,5.896E-01
2.1133034E+00,5.97882E+01,1.2081E+01,1.1510E+03,1.1897E+01,1.1629E+03,0.000E-01,5.867E-01
2.1238699E+00,5.97080E+01,1.2013E+01,1.1388E+03,1.1893E+01,1.1507E+03,0.000E-01,5.838E-01
2.1344893E+00,5.96213E+01,1.1945E+01,1.1267E+03,1.1888E+01,1.1386E+03,0.000E-01,5.809E-01
2.1451617E+00,5.95313E+01,1.1878E+01,1.1148E+03,1.1884E+01,1.1267E+03,0.000E-01,5.780E-01
2.1558875E+00,5.94378E+01,1.1811E+01,1.1030E+03,1.1879E+01,1.1149E+03,0.000E-01,5.751E-01
2.1666670E+00,5.93407E+01,1.1745E+01,1.0914E+03,1.1874E+01,1.1033E+03,0.000E-01,5.722E-01
2.1775003E+00,5.92399E+01,1.1679E+01,1.0799E+03,1.1868E+01,1.0917E+03,0.000E-01,5.694E-01
2.1883878E+00,5.91351E+01,1.1613E+01,1.0685E+03,1.1863E+01,1.0804E+03,0.000E-01,5.666E-01
2.1993297E+00,5.90262E+01,1.1549E+01,1.0572E+03,1.1857E+01,1.0691E+03,0.000E-01,5.637E-01
2.2103264E+00,5.89130E+01,1.1484E+01,1.0461E+03,1.1851E+01,1.0580E+03,0.000E-01,5.609E-01
2.2213780E+00,5.87954E+01,1.1420E+01,1.0351E+03,1.1845E+01,1.0470E+03,0.000E-01,5.581E-01
2.2324849E+00,5.86731E+01,1.1357E+01,1.0242E+03,1.1839E+01,1.0361E+03,0.000E-01,5.554E-01
2.2436473E+00,5.85458E+01,1.1294E+01,1.0135E+03,1.1833E+01,1.0253E+03,0.000E-01,5.526E-01
2.2548656E+00,5.84134E+01,1.1231E+01,1.0028E+03,1.1826E+01,1.0147E+03,0.000E-01,5.499E-01
2.2661399E+00,5.82755E+01,1.1169E+01,9.9234E+02,1.1819E+01,1.0042E+03,0.000E-01,5.471E-01
2.2774706E+00,5.81319E+01,1.1107E+01,9.8194E+02,1.1812E+01,9.9376E+02,0.000E-01,5.444E-01
2.2888579E+00,5.79821E+01,1.1046E+01,9.7167E+02,1.1805E+01,9.8347E+02,0.000E-01,5.417E-01
2.3003022E+00,5.78259E+01,1.0985E+01,9.6151E+02,1.1798E+01,9.7331E+02,0.000E-01,5.390E-01
2.3118037E+00,5.76628E+01,1.0925E+01,9.5146E+02,1.1791E+01,9.6325E+02,0.000E-01,5.363E-01
2.3233628E+00,5.74924E+01,1.0865E+01,9.4153E+02,1.1783E+01,9.5331E+02,0.000E-01,5.336E-01
2.3349796E+00,5.73142E+01,1.0805E+01,9.3171E+02,1.1775E+01,9.4348E+02,0.000E-01,5.310E-01
2.3466545E+00,5.71277E+01,1.0746E+01,9.2199E+02,1.1767E+01,9.3376E+02,0.000E-01,5.283E-01
2.3583878E+00,5.69322E+01,1.0687E+01,9.1239E+02,1.1759E+01,9.2415E+02,0.000E-01,5.257E-01
2.3701797E+00,5.67271E+01,1.0629E+01,9.0289E+02,1.1751E+01,9.1464E+02,0.000E-01,5.231E-01
2.3820306E+00,5.65116E+01,1.0571E+01,8.9348E+02,1.1742E+01,9.0523E+02,0.000E-01,5.205E-01
2.3939407E+00,5.62848E+01,1.0513E+01,8.8419E+02,1.1733E+01,8.9592E+02,0.000E-01,5.179E-01
2.4059104E+00,5.60459E+01,1.0456E+01,8.7499E+02,1.1724E+01,8.8672E+02,0.000E-01,5.153E-01
2.4179400E+00,5.57936E+01,1.0399E+01,8.6590E+02,1.1715E+01,8.7762E+02,0.000E-01,5.128E-01
2.4300297E+00,5.55268E+01,1.0342E+01,8.5691E+02,1.1706E+01,8.6862E+02,0.000E-01,5.102E-01
2.4421798E+00,5.52440E+01,1.0286E+01,8.4803E+02,1.1697E+01,8.5972E+02,0.000E-01,5.077E-01
2.4543907E+00,5.49436E+01,1.0230E+01,8.3924E+02,1.1687E+01,8.5092E+02,0.000E-01,5.052E-01
2.4666627E+00,5.46235E+01,1.0175E+01,8.3054E+02,1.1677E+01,8.4222E+02,0.000E-01,5.026E-01
2.4789960E+00,5.42815E+01,1.0120E+01,8.2195E+02,1.1667E+01,8.3362E+02,0.000E-01,5.001E-01
2.4913910E+00,5.39150E+01,1.0066E+01,8.1345E+02,1.1657E+01,8.2511E+02,0.000E-01,4.977E-01
2.5038479E+00,5.35205E+01,1.0011E+01,8.0505E+02,1.1647E+01,8.1669E+02,0.000E-01,4.952E-01
2.5163672E+00,5.30941E+01,9.9576E+00,7.9673E+02,1.1636E+01,8.0837E+02,0.000E-01,4.927E-01
2.5289490E+00,5.26310E+01,9.9041E+00,7.8851E+02,1.1626E+01,8.0014E+02,0.000E-01,4.903E-01
2.5415938E+00,5.21249E+01,9.8511E+00,7.8039E+02,1.1615E+01,7.9200E+02,0.000E-01,4.878E-01
2.5543017E+00,5.15679E+01,9.7983E+00,7.7235E+02,1.1604E+01,7.8395E+02,0.000E-01,4.854E-01
2.5670732E+00,5.09498E+01,9.7460E+00,7.6440E+02,1.1593E+01,7.7599E+02,0.000E-01,4.830E-01
2.5799086E+00,5.02566E+01,9.6940E+00,7.5654E+02,1.1582E+01,7.6812E+02,0.000E-01,4.806E-01
2.5928082E+00,4.94687E+01,9.6424E+00,7.4876E+02,1.1570E+01,7.6033E+02,0.000E-01,4.782E-01
2.6057722E+00,4.85579E+01,9.5911E+00,7.4108E+02,1.1558E+01,7.5264E+02,0.000E-01,4.758E-01
2.6188011E+00,4.74800E+01,9.5401E+00,7.3347E+02,1.1547E+01,7.4502E+02,0.000E-01,4.734E-01
2.6318951E+00,4.61608E+01,9.4895E+00,7.2596E+02,1.1535E+01,7.3749E+02,0.000E-01,4.711E-01
2.6450545E+00,4.44594E+01,9.4393E+00,7.1852E+02,1.1523E+01,7.3004E+02,0.000E-01,4.687E-01
2.6582798E+00,4.20500E+01,9.3894E+00,7.1117E+02,1.1510E+01,7.2268E+02,0.000E-01,4.664E-01
2.6715712E+00,3.78063E+01,9.3399E+00,7.0389E+02,1.1498E+01,7.1539E+02,0.000E-01,4.641E-01
2.6822596E+00,2.31295E+01,9.3004E+00,6.9813E+02,1.1488E+01,7.0961E+02,0.000E-01,4.622E-01
2.6837406E+00,2.28458E+01,2.6036E+01,1.9533E+03,1.1486E+01,1.9648E+03,0.000E-01,4.620E-01
2.6849291E+00,2.79442E+01,2.6019E+01,1.9511E+03,1.1485E+01,1.9626E+03,0.000E-01,4.618E-01
2.6983537E+00,3.88204E+01,2.5821E+01,1.9267E+03,1.1472E+01,1.9382E+03,0.000E-01,4.595E-01
2.7118455E+00,4.18826E+01,2.5626E+01,1.9026E+03,1.1459E+01,1.9140E+03,0.000E-01,4.572E-01
2.7254047E+00,4.35247E+01,2.5431E+01,1.8788E+03,1.1446E+01,1.8902E+03,0.000E-01,4.549E-01
2.7390317E+00,4.44561E+01,2.5239E+01,1.8553E+03,1.1433E+01,1.8667E+03,0.000E-01,4.527E-01
2.7527269E+00,4.48609E+01,2.5048E+01,1.8321E+03,1.1420E+01,1.8435E+03,0.000E-01,4.504E-01
2.7664905E+00,4.47102E+01,2.4859E+01,1.8092E+03,1.1406E+01,1.8206E+03,0.000E-01,4.482E-01
2.7803230E+00,4.36560E+01,2.4671E+01,1.7866E+03,1.1392E+01,1.7980E+03,0.000E-01,4.459E-01
2.7942246E+00,3.90917E+01,2.4485E+01,1.7643E+03,1.1378E+01,1.7757E+03,0.000E-01,4.437E-01
2.7971803E+00,3.38657E+01,2.4445E+01,1.7596E+03,1.1375E+01,1.7710E+03,0.000E-01,4.432E-01
2.7988199E+00,3.37869E+01,3.5560E+01,2.5581E+03,1.1374E+01,2.5695E+03,0.000E-01,4.430E-01
2.8081957E+00,4.32845E+01,3.5368E+01,2.5358E+03,1.1364E+01,2.5471E+03,0.000E-01,4.415E-01
2.8222367E+00,4.70858E+01,3.5082E+01,2.5028E+03,1.1350E+01,2.5142E+03,0.000E-01,4.393E-01
2.8363479E+00,4.93630E+01,3.4798E+01,2.4702E+03,1.1336E+01,2.4815E+03,0.000E-01,4.371E-01
2.8505296E+00,5.10660E+01,3.4516E+01,2.4380E+03,1.1321E+01,2.4493E+03,0.000E-01,4.350E-01
2.8647823E+00,5.24520E+01,3.4237E+01,2.4062E+03,1.1307E+01,2.4176E+03,0.000E-01,4.328E-01
2.8791062E+00,5.36311E+01,3.3960E+01,2.3749E+03,1.1292E+01,2.3862E+03,0.000E-01,4.306E-01
2.8935017E+00,5.46615E+01,3.3686E+01,2.3440E+03,1.1277E+01,2.3553E+03,0.000E-01,4.285E-01
2.9079692E+00,5.55780E+01,3.3414E+01,2.3135E+03,1.1262E+01,2.3248E+03,0.000E-01,4.264E-01
2.9225091E+00,5.64036E+01,3.3144E+01,2.2834E+03,1.1246E+01,2.2947E+03,0.000E-01,4.242E-01
2.9371216E+00,5.71541E+01,3.2877E+01,2.2537E+03,1.1231E+01,2.2650E+03,0.000E-01,4.221E-01
2.9518072E+00,5.78411E+01,3.2612E+01,2.2244E+03,1.1215E+01,2.2356E+03,0.000E-01,4.200E-01
2.9665662E+00,5.84730E+01,3.2349E+01,2.1955E+03,1.1200E+01,2.2067E+03,0.000E-01,4.179E-01
2.9813991E+00,5.90566E+01,3.2088E+01,2.1670E+03,1.1184E+01,2.1782E+03,0.000E-01,4.159E-01
2.9963061E+00,5.95993E+01,3.1830E+01,2.1389E+03,1.1168E+01,2.1500E+03,0.000E-01,4.138E-01
3.0112876E+00,6.00956E+01,3.1564E+01,2.1104E+03,1.1152E+01,2.1216E+03,0.000E-01,4.117E-01
