E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,5.33495E+01,1.6915E+01,2.4277E+03,8.2892E+00,2.4360E+03,0.000E+00,5.959E-01
2.224304E+00,5.38968E+01,1.5428E+01,2.0714E+03,8.2085E+00,2.0796E+03,0.000E+00,5.574E-01
2.377781E+00,5.42865E+01,1.4073E+01,1.7675E+03,8.1060E+00,1.7756E+03,0.000E+00,5.214E-01
2.541848E+00,5.46680E+01,1.2844E+01,1.5090E+03,7.9826E+00,1.5170E+03,0.000E+00,4.878E-01
2.717235E+00,5.49099E+01,1.1717E+01,1.2877E+03,7.8397E+00,1.2955E+03,0.000E+00,4.563E-01
2.904724E+00,5.50655E+01,1.0692E+01,1.0993E+03,7.6786E+00,1.1070E+03,0.000E+00,4.268E-01
3.105150E+00,5.52498E+01,9.6854E+00,9.3150E+02,7.5008E+00,9.3900E+02,0.000E+00,3.993E-01
3.319406E+00,5.51905E+01,8.7117E+00,7.8377E+02,7.3079E+00,7.9108E+02,0.000E+00,3.735E-01
3.548445E+00,5.50442E+01,7.8467E+00,6.6038E+02,7.1015E+00,6.6748E+02,0.000E+00,3.494E-01
3.793288E+00,5.48333E+01,7.0689E+00,5.5652E+02,6.8833E+00,5.6340E+02,0.000E+00,3.269E-01
4.055024E+00,5.45398E+01,6.3421E+00,4.6707E+02,6.6550E+00,4.7372E+02,0.000E+00,3.058E-01
4.334821E+00,5.41509E+01,5.6964E+00,3.9244E+02,6.4182E+00,3.9886E+02,0.000E+00,2.860E-01
4.633924E+00,5.36469E+01,5.1242E+00,3.3023E+02,6.1747E+00,3.3640E+02,0.000E+00,2.676E-01
4.953664E+00,5.29708E+01,4.6174E+00,2.7837E+02,5.9261E+00,2.8430E+02,0.000E+00,2.503E-01
5.295467E+00,5.19742E+01,4.1684E+00,2.3508E+02,5.6740E+00,2.4075E+02,0.000E+00,2.341E-01
5.660855E+00,5.01049E+01,3.7541E+00,1.9805E+02,5.4200E+00,2.0347E+02,0.000E+00,2.190E-01
5.845014E+00,4.79480E+01,3.5682E+00,1.8231E+02,5.2978E+00,1.8761E+02,0.000E+00,2.121E-01
5.934479E+00,4.48046E+01,3.4816E+00,1.7520E+02,5.2398E+00,1.8044E+02,0.000E+00,2.089E-01
5.958336E+00,4.11580E+01,3.4592E+00,1.7338E+02,5.2245E+00,1.7860E+02,0.000E+00,2.081E-01
5.994122E+00,4.47709E+01,1.0518E+01,5.2403E+02,5.2017E+00,5.2923E+02,0.000E+00,2.068E-01
6.051453E+00,4.71935E+01,1.0305E+01,5.0854E+02,5.1654E+00,5.1371E+02,0.000E+00,2.049E-01
6.083586E+00,4.78639E+01,1.0188E+01,5.0013E+02,5.1452E+00,5.0528E+02,0.000E+00,2.038E-01
6.311592E+00,4.92910E+01,9.4366E+00,4.4650E+02,5.0052E+00,4.5151E+02,0.000E+00,1.964E-01
6.408198E+00,4.83098E+01,9.1775E+00,4.2769E+02,4.9475E+00,4.3264E+02,0.000E+00,1.935E-01
6.433960E+00,4.66523E+01,9.1113E+00,4.2291E+02,4.9323E+00,4.2784E+02,0.000E+00,1.927E-01
6.469004E+00,4.84282E+01,1.2493E+01,5.7675E+02,4.9117E+00,5.8166E+02,0.000E+00,1.917E-01
6.472602E+00,4.85756E+01,1.2481E+01,5.7586E+02,4.9096E+00,5.8077E+02,0.000E+00,1.916E-01
6.569208E+00,5.04377E+01,1.2156E+01,5.5263E+02,4.8535E+00,5.5748E+02,0.000E+00,1.887E-01
6.698104E+00,5.13533E+01,1.1748E+01,5.2381E+02,4.7801E+00,5.2859E+02,0.000E+00,1.851E-01
6.800626E+00,5.12799E+01,1.1445E+01,5.0261E+02,4.7229E+00,5.0733E+02,0.000E+00,1.823E-01
