E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.023798E+00,2.75287E+01,1.3090E+01,3.1846E+03,5.4059E+00,3.1900E+03,0.000E+00,6.126E-01
2.054774E+00,2.73506E+01,1.2769E+01,3.0598E+03,5.3916E+00,3.0652E+03,0.000E+00,6.034E-01
2.063035E+00,2.65310E+01,1.2687E+01,3.0279E+03,5.3877E+00,3.0333E+03,0.000E+00,6.010E-01
2.075425E+00,2.77221E+01,1.4480E+01,3.4350E+03,5.3818E+00,3.4404E+03,0.000E+00,5.974E-01
2.080733E+00,2.80720E+01,1.4424E+01,3.4130E+03,5.3792E+00,3.4184E+03,0.000E+00,5.959E-01
2.106402E+00,2.90967E+01,1.4161E+01,3.3101E+03,5.3667E+00,3.3155E+03,0.000E+00,5.886E-01
2.224304E+00,3.14076E+01,1.3092E+01,2.8979E+03,5.3052E+00,2.9032E+03,0.000E+00,5.574E-01
2.377781E+00,3.31215E+01,1.1929E+01,2.4700E+03,5.2179E+00,2.4752E+03,0.000E+00,5.214E-01
2.541848E+00,3.43107E+01,1.0816E+01,2.0950E+03,5.1180E+00,2.1001E+03,0.000E+00,4.878E-01
2.717235E+00,3.51644E+01,9.7911E+00,1.7741E+03,5.0066E+00,1.7791E+03,0.000E+00,4.563E-01
2.904724E+00,3.57995E+01,8.8531E+00,1.5006E+03,4.8847E+00,1.5055E+03,0.000E+00,4.268E-01
3.105150E+00,3.62964E+01,7.9746E+00,1.2645E+03,4.7534E+00,1.2693E+03,0.000E+00,3.993E-01
3.319406E+00,3.66150E+01,7.1601E+00,1.0620E+03,4.6137E+00,1.0666E+03,0.000E+00,3.735E-01
3.548445E+00,3.68409E+01,6.4342E+00,8.9276E+02,4.4669E+00,8.9723E+02,0.000E+00,3.494E-01
3.793288E+00,3.71467E+01,5.7579E+00,7.4735E+02,4.3139E+00,7.5166E+02,0.000E+00,3.269E-01
4.055024E+00,3.72307E+01,5.1392E+00,6.2399E+02,4.1560E+00,6.2815E+02,0.000E+00,3.058E-01
4.334821E+00,3.73083E+01,4.5792E+00,5.2011E+02,3.9943E+00,5.2410E+02,0.000E+00,2.860E-01
4.633924E+00,3.73012E+01,4.0776E+00,4.3324E+02,3.8298E+00,4.3707E+02,0.000E+00,2.676E-01
4.953664E+00,3.72647E+01,3.6308E+00,3.6087E+02,3.6636E+00,3.6453E+02,0.000E+00,2.503E-01
5.295467E+00,3.72079E+01,3.2358E+00,3.0085E+02,3.4966E+00,3.0435E+02,0.000E+00,2.341E-01
5.660855E+00,3.71377E+01,2.8864E+00,2.5104E+02,3.3299E+00,2.5437E+02,0.000E+00,2.190E-01
6.051453E+00,3.70586E+01,2.5770E+00,2.0967E+02,3.1642E+00,2.1283E+02,0.000E+00,2.049E-01
6.469004E+00,3.69737E+01,2.3017E+00,1.7518E+02,3.0004E+00,1.7818E+02,0.000E+00,1.917E-01
6.915365E+00,3.68848E+01,2.0576E+00,1.4650E+02,2.8391E+00,1.4934E+02,0.000E+00,1.793E-01
7.392525E+00,3.67938E+01,1.8411E+00,1.2262E+02,2.6812E+00,1.2530E+02,0.000E+00,1.677E-01
7.902609E+00,3.67023E+01,1.6480E+00,1.0267E+02,2.5271E+00,1.0520E+02,0.000E+00,1.569E-01
8.447890E+00,3.66083E+01,1.4703E+00,8.5691E+01,2.3773E+00,8.8068E+01,0.000E+00,1.468E-01
9.030794E+00,3.65147E+01,1.3082E+00,7.1320E+01,2.2324E+00,7.3552E+01,0.000E+00,1.373E-01
9.653919E+00,3.64009E+01,1.1491E+00,5.8603E+01,2.0926E+00,6.0696E+01,0.000E+00,1.284E-01
2.011215E+01,3.68702E+01,2.3484E+00,5.7490E+01,9.3799E-01,5.8428E+01,5.029E+01,6.165E-02
2.149988E+01,3.70520E+01,2.1007E+00,4.8106E+01,8.6725E-01,4.8973E+01,4.212E+01,5.767E-02
2.298338E+01,3.71762E+01,1.8765E+00,4.0198E+01,8.0158E-01,4.1000E+01,3.522E+01,5.395E-02
2.456923E+01,3.72613E+01,1.6749E+00,3.3564E+01,7.4076E-01,3.4305E+01,2.942E+01,5.046E-02
2.626450E+01,3.73198E+01,1.4947E+00,2.8020E+01,6.8455E-01,2.8705E+01,2.457E+01,4.721E-02
2.807676E+01,3.73592E+01,1.3296E+00,2.3316E+01,6.3272E-01,2.3949E+01,2.047E+01,4.416E-02
3.001405E+01,3.73806E+01,1.1815E+00,1.9381E+01,5.8501E-01,1.9966E+01,1.704E+01,4.131E-02
3.208502E+01,3.74248E+01,1.0446E+00,1.6029E+01,5.4119E-01,1.6570E+01,1.411E+01,3.864E-02
3.429889E+01,3.74215E+01,9.2254E-01,1.3243E+01,5.0102E-01,1.3744E+01,1.166E+01,3.615E-02
3.666551E+01,3.74110E+01,8.1482E-01,1.0942E+01,4.6424E-01,1.1406E+01,9.639E+00,3.381E-02
3.919543E+01,3.73958E+01,7.1970E-01,9.0405E+00,4.3064E-01,9.4711E+00,7.967E+00,3.163E-02
4.189992E+01,3.73776E+01,6.3565E-01,7.4694E+00,3.9997E-01,7.8694E+00,6.586E+00,2.959E-02
4.479101E+01,3.73576E+01,5.6136E-01,6.1706E+00,3.7202E-01,6.5426E+00,5.444E+00,2.768E-02
4.788159E+01,3.73367E+01,4.9552E-01,5.0953E+00,3.4659E-01,5.4419E+00,4.500E+00,2.589E-02
5.118542E+01,3.73153E+01,4.3743E-01,4.2076E+00,3.2346E-01,4.5311E+00,3.720E+00,2.422E-02
5.471721E+01,3.72942E+01,3.8618E-01,3.4749E+00,3.0244E-01,3.7773E+00,3.075E+00,2.266E-02
5.849270E+01,3.72736E+01,3.4095E-01,2.8699E+00,2.8335E-01,3.1532E+00,2.542E+00,2.120E-02
6.252870E+01,3.72538E+01,3.0104E-01,2.3704E+00,2.6603E-01,2.6364E+00,2.101E+00,1.983E-02
6.684318E+01,3.72352E+01,2.6552E-01,1.9558E+00,2.5031E-01,2.2061E+00,1.734E+00,1.855E-02
7.145536E+01,3.72171E+01,2.3329E-01,1.6074E+00,2.3604E-01,1.8434E+00,1.426E+00,1.735E-02
7.638578E+01,3.71997E+01,2.0497E-01,1.3212E+00,2.2308E-01,1.5443E+00,1.172E+00,1.623E-02
8.165640E+01,3.71841E+01,1.7991E-01,1.0848E+00,2.1130E-01,1.2961E+00,9.619E-01,1.518E-02
8.729069E+01,3.71686E+01,1.5755E-01,8.8866E-01,2.0058E-01,1.0892E+00,7.877E-01,1.420E-02
9.331374E+01,3.71539E+01,1.3798E-01,7.2801E-01,1.9082E-01,9.1883E-01,6.451E-01,1.329E-02
9.975239E+01,3.71401E+01,1.2084E-01,5.9643E-01,1.8192E-01,7.7835E-01,5.283E-01,1.243E-02
2.078156E+02,3.70456E+01,2.8164E-02,6.6726E-02,1.1928E-01,1.8601E-01,5.869E-02,5.966E-03
2.221548E+02,3.70410E+01,2.4677E-02,5.4690E-02,1.1547E-01,1.7016E-01,4.806E-02,5.581E-03
2.374835E+02,3.70368E+01,2.1622E-02,4.4826E-02,1.1183E-01,1.5666E-01,3.936E-02,5.221E-03
2.538699E+02,3.70330E+01,1.8946E-02,3.6743E-02,1.0834E-01,1.4508E-01,3.223E-02,4.884E-03
2.713869E+02,3.70296E+01,1.6601E-02,3.0118E-02,1.0499E-01,1.3511E-01,2.640E-02,4.569E-03
2.901126E+02,3.70265E+01,1.4547E-02,2.4688E-02,1.0175E-01,1.2644E-01,2.162E-02,4.274E-03
3.101304E+02,3.70237E+01,1.2748E-02,2.0238E-02,9.8609E-02,1.1885E-01,1.770E-02,3.998E-03
3.315294E+02,3.70212E+01,1.1171E-02,1.6590E-02,9.5566E-02,1.1216E-01,1.450E-02,3.740E-03
3.544049E+02,3.70190E+01,9.7899E-03,1.3600E-02,9.2606E-02,1.0621E-01,1.187E-02,3.498E-03
3.788588E+02,3.70170E+01,8.5796E-03,1.1150E-02,8.9724E-02,1.0087E-01,9.723E-03,3.273E-03
4.050001E+02,3.70152E+01,7.5192E-03,9.1410E-03,8.6911E-02,9.6052E-02,7.962E-03,3.061E-03
4.329451E+02,3.70135E+01,6.5900E-03,7.4943E-03,8.4163E-02,9.1657E-02,6.521E-03,2.864E-03
