E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0004844E+00,3.94024E+01,3.4760E+01,3.9267E+03,1.0736E+01,3.9374E+03,0.000E-01,6.198E-01
2.0104868E+00,4.06159E+01,3.4512E+01,3.8793E+03,1.0733E+01,3.8900E+03,0.000E-01,6.167E-01
2.0205393E+00,4.16890E+01,3.4266E+01,3.8325E+03,1.0729E+01,3.8432E+03,0.000E-01,6.136E-01
2.0306420E+00,4.26523E+01,3.4022E+01,3.7862E+03,1.0725E+01,3.7970E+03,0.000E-01,6.106E-01
2.0407952E+00,4.35266E+01,3.3779E+01,3.7406E+03,1.0720E+01,3.7513E+03,0.000E-01,6.075E-01
2.0509992E+00,4.43268E+01,3.3539E+01,3.6954E+03,1.0716E+01,3.7062E+03,0.000E-01,6.045E-01
2.0612542E+00,4.50641E+01,3.3300E+01,3.6509E+03,1.0711E+01,3.6616E+03,0.000E-01,6.015E-01
2.0715604E+00,4.57469E+01,3.3063E+01,3.6069E+03,1.0707E+01,3.6176E+03,0.000E-01,5.985E-01
2.0819182E+00,4.63818E+01,3.2827E+01,3.5633E+03,1.0702E+01,3.5740E+03,0.000E-01,5.955E-01
2.0923278E+00,4.69742E+01,3.2593E+01,3.5202E+03,1.0697E+01,3.5309E+03,0.000E-01,5.926E-01
2.1027895E+00,4.75283E+01,3.2360E+01,3.4777E+03,1.0691E+01,3.4884E+03,0.000E-01,5.896E-01
2.1133034E+00,4.80476E+01,3.2129E+01,3.4357E+03,1.0686E+01,3.4464E+03,0.000E-01,5.867E-01
2.1238699E+00,4.85352E+01,3.1900E+01,3.3943E+03,1.0680E+01,3.4050E+03,0.000E-01,5.838E-01
2.1344893E+00,4.89933E+01,3.1673E+01,3.3533E+03,1.0675E+01,3.3640E+03,0.000E-01,5.809E-01
2.1451617E+00,4.94240E+01,3.1447E+01,3.3128E+03,1.0669E+01,3.3235E+03,0.000E-01,5.780E-01
2.1558875E+00,4.98290E+01,3.1223E+01,3.2729E+03,1.0663E+01,3.2835E+03,0.000E-01,5.751E-01
2.1666670E+00,5.02095E+01,3.1001E+01,3.2334E+03,1.0656E+01,3.2441E+03,0.000E-01,5.722E-01
2.1775003E+00,5.05667E+01,3.0780E+01,3.1944E+03,1.0650E+01,3.2051E+03,0.000E-01,5.694E-01
2.1883878E+00,5.09012E+01,3.0561E+01,3.1559E+03,1.0644E+01,3.1666E+03,0.000E-01,5.666E-01
2.1993297E+00,5.12137E+01,3.0344E+01,3.1179E+03,1.0637E+01,3.1285E+03,0.000E-01,5.637E-01
2.2103264E+00,5.15044E+01,3.0128E+01,3.0803E+03,1.0630E+01,3.0909E+03,0.000E-01,5.609E-01
2.2213780E+00,5.17732E+01,2.9914E+01,3.0432E+03,1.0623E+01,3.0538E+03,0.000E-01,5.581E-01
2.2324849E+00,5.20198E+01,2.9701E+01,3.0066E+03,1.0616E+01,3.0172E+03,0.000E-01,5.554E-01
2.2436473E+00,5.22434E+01,2.9490E+01,2.9704E+03,1.0608E+01,2.9810E+03,0.000E-01,5.526E-01
2.2548656E+00,5.24425E+01,2.9281E+01,2.9346E+03,1.0601E+01,2.9452E+03,0.000E-01,5.499E-01
2.2661399E+00,5.26152E+01,2.9073E+01,2.8993E+03,1.0593E+01,2.9099E+03,0.000E-01,5.471E-01
2.2774706E+00,5.27583E+01,2.8867E+01,2.8644E+03,1.0586E+01,2.8750E+03,0.000E-01,5.444E-01
2.2888579E+00,5.28670E+01,2.8662E+01,2.8299E+03,1.0578E+01,2.8405E+03,0.000E-01,5.417E-01
2.3003022E+00,5.29340E+01,2.8459E+01,2.7959E+03,1.0569E+01,2.8065E+03,0.000E-01,5.390E-01
2.3118037E+00,5.29471E+01,2.8258E+01,2.7623E+03,1.0561E+01,2.7729E+03,0.000E-01,5.363E-01
2.3233628E+00,5.28855E+01,2.8058E+01,2.7291E+03,1.0553E+01,2.7396E+03,0.000E-01,5.336E-01
2.3349796E+00,5.27075E+01,2.7859E+01,2.6963E+03,1.0544E+01,2.7068E+03,0.000E-01,5.310E-01
2.3466545E+00,5.23133E+01,2.7662E+01,2.6639E+03,1.0535E+01,2.6744E+03,0.000E-01,5.283E-01
2.3583878E+00,5.13290E+01,2.7466E+01,2.6319E+03,1.0527E+01,2.6424E+03,0.000E-01,5.257E-01
2.3649801E+00,4.94646E+01,2.7357E+01,2.6142E+03,1.0522E+01,2.6247E+03,0.000E-01,5.243E-01
2.3696200E+00,4.95016E+01,3.2000E+01,3.0517E+03,1.0518E+01,3.0623E+03,0.000E-01,5.232E-01
2.3701797E+00,4.98406E+01,3.1988E+01,3.0500E+03,1.0518E+01,3.0605E+03,0.000E-01,5.231E-01
2.3820306E+00,5.25668E+01,3.1753E+01,3.0124E+03,1.0508E+01,3.0230E+03,0.000E-01,5.205E-01
2.3939407E+00,5.37078E+01,3.1519E+01,2.9754E+03,1.0499E+01,2.9859E+03,0.000E-01,5.179E-01
2.4059104E+00,5.45014E+01,3.1287E+01,2.9388E+03,1.0490E+01,2.9493E+03,0.000E-01,5.153E-01
2.4179400E+00,5.51326E+01,3.1057E+01,2.9027E+03,1.0480E+01,2.9132E+03,0.000E-01,5.128E-01
2.4300297E+00,5.56670E+01,3.0829E+01,2.8670E+03,1.0470E+01,2.8775E+03,0.000E-01,5.102E-01
2.4421798E+00,5.61356E+01,3.0603E+01,2.8318E+03,1.0460E+01,2.8423E+03,0.000E-01,5.077E-01
2.4543907E+00,5.65546E+01,3.0374E+01,2.7966E+03,1.0450E+01,2.8071E+03,0.000E-01,5.052E-01
2.4666627E+00,5.69319E+01,3.0142E+01,2.7615E+03,1.0440E+01,2.7720E+03,0.000E-01,5.026E-01
2.4789960E+00,5.72732E+01,2.9913E+01,2.7269E+03,1.0430E+01,2.7373E+03,0.000E-01,5.001E-01
