E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,3.72619E+01,4.6920E+00,9.3886E+02,6.4772E+00,9.4534E+02,0.000E+00,5.959E-01
2.224304E+00,3.67266E+01,4.2654E+00,7.9841E+02,6.3972E+00,8.0481E+02,0.000E+00,5.574E-01
2.377781E+00,3.59697E+01,3.8813E+00,6.7961E+02,6.3005E+00,6.8591E+02,0.000E+00,5.214E-01
2.541848E+00,3.47747E+01,3.5320E+00,5.7854E+02,6.1881E+00,5.8473E+02,0.000E+00,4.878E-01
2.717235E+00,3.22942E+01,3.2179E+00,4.9306E+02,6.0609E+00,4.9912E+02,0.000E+00,4.563E-01
2.781142E+00,3.02369E+01,3.1159E+00,4.6646E+02,6.0134E+00,4.7247E+02,0.000E+00,4.458E-01
2.823710E+00,2.65904E+01,3.0513E+00,4.4990E+02,5.9815E+00,4.5588E+02,0.000E+00,4.391E-01
2.835062E+00,2.24727E+01,3.0344E+00,4.4563E+02,5.9730E+00,4.5160E+02,0.000E+00,4.373E-01
2.852089E+00,2.63780E+01,1.0932E+01,1.5959E+03,5.9602E+00,1.6019E+03,0.000E+00,4.347E-01
2.894658E+00,2.95073E+01,1.0698E+01,1.5387E+03,5.9280E+00,1.5446E+03,0.000E+00,4.283E-01
2.904724E+00,2.97685E+01,1.0643E+01,1.5256E+03,5.9204E+00,1.5315E+03,0.000E+00,4.268E-01
2.907562E+00,2.98248E+01,1.0628E+01,1.5219E+03,5.9182E+00,1.5278E+03,0.000E+00,4.264E-01
2.952066E+00,2.94490E+01,1.0395E+01,1.4660E+03,5.8844E+00,1.4719E+03,0.000E+00,4.200E-01
2.963933E+00,2.76815E+01,1.0334E+01,1.4516E+03,5.8754E+00,1.4575E+03,0.000E+00,4.183E-01
2.981735E+00,2.99606E+01,1.4292E+01,1.9956E+03,5.8618E+00,2.0015E+03,0.000E+00,4.158E-01
3.026238E+00,3.27712E+01,1.4151E+01,1.9469E+03,5.8279E+00,1.9527E+03,0.000E+00,4.097E-01
3.105150E+00,3.49892E+01,1.3295E+01,1.7826E+03,5.7676E+00,1.7884E+03,0.000E+00,3.993E-01
3.159520E+00,3.56507E+01,1.2738E+01,1.6785E+03,5.7261E+00,1.6842E+03,0.000E+00,3.924E-01
3.207880E+00,3.55236E+01,1.2272E+01,1.5928E+03,5.6891E+00,1.5985E+03,0.000E+00,3.865E-01
3.220776E+00,3.47222E+01,1.2154E+01,1.5711E+03,5.6793E+00,1.5768E+03,0.000E+00,3.850E-01
3.240120E+00,3.58840E+01,1.3854E+01,1.7803E+03,5.6645E+00,1.7860E+03,0.000E+00,3.827E-01
3.288480E+00,3.71842E+01,1.3431E+01,1.7005E+03,5.6276E+00,1.7061E+03,0.000E+00,3.770E-01
3.319406E+00,3.76671E+01,1.3184E+01,1.6536E+03,5.6041E+00,1.6592E+03,0.000E+00,3.735E-01
3.548445E+00,3.95868E+01,1.1858E+01,1.3914E+03,5.4310E+00,1.3968E+03,0.000E+00,3.494E-01
3.793288E+00,4.08496E+01,1.1047E+01,1.2125E+03,5.2499E+00,1.2178E+03,0.000E+00,3.269E-01
