E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,4.64584E+01,9.0959E+00,1.5109E+03,7.2298E+00,1.5181E+03,0.000E+00,5.959E-01
2.224304E+00,4.64054E+01,8.2687E+00,1.2849E+03,7.1566E+00,1.2921E+03,0.000E+00,5.574E-01
2.377781E+00,4.62816E+01,7.5066E+00,1.0911E+03,7.0636E+00,1.0982E+03,0.000E+00,5.214E-01
2.541848E+00,4.60945E+01,6.8253E+00,9.2807E+02,6.9518E+00,9.3502E+02,0.000E+00,4.878E-01
2.717235E+00,4.58465E+01,6.2155E+00,7.9061E+02,6.8223E+00,7.9743E+02,0.000E+00,4.563E-01
2.904724E+00,4.55381E+01,5.6689E+00,6.7454E+02,6.6766E+00,6.8122E+02,0.000E+00,4.268E-01
3.105150E+00,4.51717E+01,5.1180E+00,5.6968E+02,6.5160E+00,5.7620E+02,0.000E+00,3.993E-01
3.319406E+00,4.46190E+01,4.5597E+00,4.7477E+02,6.3419E+00,4.8111E+02,0.000E+00,3.735E-01
3.548445E+00,4.37679E+01,4.0612E+00,3.9557E+02,6.1559E+00,4.0173E+02,0.000E+00,3.494E-01
3.793288E+00,4.23394E+01,3.6230E+00,3.3011E+02,5.9596E+00,3.3607E+02,0.000E+00,3.269E-01
4.049556E+00,3.86985E+01,3.2402E+00,2.7655E+02,5.7588E+00,2.8231E+02,0.000E+00,3.062E-01
4.055024E+00,3.85259E+01,3.2328E+00,2.7554E+02,5.7546E+00,2.8129E+02,0.000E+00,3.058E-01
4.111539E+00,3.52495E+01,3.1579E+00,2.6546E+02,5.7111E+00,2.7117E+02,0.000E+00,3.016E-01
4.128068E+00,3.12844E+01,3.1365E+00,2.6261E+02,5.6984E+00,2.6831E+02,0.000E+00,3.003E-01
4.152861E+00,3.51768E+01,1.0786E+01,8.9766E+02,5.6795E+00,9.0334E+02,0.000E+00,2.986E-01
4.214844E+00,3.84252E+01,1.0425E+01,8.5487E+02,5.6324E+00,8.6050E+02,0.000E+00,2.942E-01
4.292792E+00,3.94207E+01,9.9960E+00,8.0482E+02,5.5737E+00,8.1039E+02,0.000E+00,2.888E-01
4.334821E+00,3.92292E+01,9.7756E+00,7.7944E+02,5.5423E+00,7.8498E+02,0.000E+00,2.860E-01
4.358498E+00,3.86196E+01,9.6715E+00,7.6695E+02,5.5248E+00,7.7247E+02,0.000E+00,2.845E-01
4.376020E+00,3.68523E+01,9.5967E+00,7.5797E+02,5.5118E+00,7.6348E+02,0.000E+00,2.833E-01
4.402302E+00,3.90524E+01,1.3294E+01,1.0437E+03,5.4924E+00,1.0492E+03,0.000E+00,2.816E-01
4.468008E+00,4.12611E+01,1.2901E+01,9.9797E+02,5.4441E+00,1.0034E+03,0.000E+00,2.775E-01
4.604334E+00,4.28218E+01,1.2162E+01,9.1295E+02,5.3456E+00,9.1830E+02,0.000E+00,2.693E-01
4.633924E+00,4.29076E+01,1.2022E+01,8.9672E+02,5.3245E+00,9.0204E+02,0.000E+00,2.676E-01
4.674808E+00,4.27008E+01,1.1837E+01,8.7513E+02,5.2955E+00,8.8043E+02,0.000E+00,2.652E-01
4.693602E+00,4.19213E+01,1.1754E+01,8.6552E+02,5.2822E+00,8.7080E+02,0.000E+00,2.642E-01
4.721791E+00,4.30690E+01,1.3468E+01,9.8582E+02,5.2623E+00,9.9108E+02,0.000E+00,2.626E-01
4.792266E+00,4.43895E+01,1.3158E+01,9.4896E+02,5.2131E+00,9.5417E+02,0.000E+00,2.587E-01
4.953664E+00,4.58807E+01,1.2511E+01,8.7293E+02,5.1025E+00,8.7803E+02,0.000E+00,2.503E-01
5.295467E+00,4.76632E+01,1.1356E+01,7.4119E+02,4.8779E+00,7.4607E+02,0.000E+00,2.341E-01
5.660855E+00,4.88405E+01,1.0281E+01,6.2771E+02,4.6520E+00,6.3236E+02,0.000E+00,2.190E-01
6.051453E+00,4.96541E+01,9.2620E+00,5.2900E+02,4.4261E+00,5.3343E+02,0.000E+00,2.049E-01
6.469004E+00,5.02187E+01,8.3229E+00,4.4468E+02,4.2015E+00,4.4888E+02,0.000E+00,1.917E-01
6.915365E+00,5.06070E+01,7.4727E+00,3.7349E+02,3.9793E+00,3.7747E+02,0.000E+00,1.793E-01
7.392525E+00,5.08727E+01,6.7098E+00,3.1371E+02,3.7606E+00,3.1747E+02,0.000E+00,1.677E-01
7.902609E+00,5.10531E+01,6.0285E+00,2.6366E+02,3.5463E+00,2.6721E+02,0.000E+00,1.569E-01
8.447890E+00,5.12517E+01,5.4184E+00,2.2168E+02,3.3371E+00,2.2502E+02,0.000E+00,1.468E-01
9.030794E+00,5.13849E+01,4.8549E+00,1.8581E+02,3.1339E+00,1.8894E+02,0.000E+00,1.373E-01
9.653919E+00,5.14451E+01,4.3109E+00,1.5434E+02,2.9372E+00,1.5728E+02,0.000E+00,1.284E-01
2.011215E+01,5.04806E+01,1.1969E+00,2.0568E+01,1.2895E+00,2.1858E+01,0.000E+00,6.165E-02
2.149988E+01,5.03444E+01,1.0614E+00,1.7062E+01,1.1874E+00,1.8249E+01,0.000E+00,5.767E-02
2.298338E+01,5.01845E+01,9.4120E-01,1.4154E+01,1.0925E+00,1.5246E+01,0.000E+00,5.395E-02
2.456923E+01,4.99872E+01,8.3540E-01,1.1752E+01,1.0045E+00,1.2756E+01,0.000E+00,5.046E-02
2.626450E+01,4.97185E+01,7.4215E-01,9.7664E+00,9.2310E-01,1.0690E+01,0.000E+00,4.721E-02
2.807676E+01,4.92783E+01,6.5316E-01,8.0405E+00,8.4801E-01,8.8885E+00,0.000E+00,4.416E-02
2.988138E+01,4.81193E+01,5.7836E-01,6.6897E+00,7.8329E-01,7.4730E+00,0.000E+00,4.149E-02
