E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,1.25086E+01,3.5283E+00,2.5407E+03,2.1275E+00,2.5428E+03,2.342E+03,5.959E-01
2.224304E+00,1.31320E+01,3.1614E+00,2.1295E+03,2.0813E+00,2.1316E+03,1.964E+03,5.574E-01
2.377781E+00,1.35165E+01,2.8224E+00,1.7785E+03,2.0309E+00,1.7805E+03,1.640E+03,5.214E-01
2.541848E+00,1.37720E+01,2.5325E+00,1.4928E+03,1.9765E+00,1.4948E+03,1.377E+03,4.878E-01
2.717235E+00,1.39567E+01,2.2762E+00,1.2551E+03,1.9188E+00,1.2570E+03,1.158E+03,4.563E-01
2.904724E+00,1.40941E+01,2.0459E+00,1.0553E+03,1.8583E+00,1.0572E+03,9.741E+02,4.268E-01
3.105150E+00,1.41991E+01,1.8323E+00,8.8413E+02,1.7954E+00,8.8593E+02,8.170E+02,3.993E-01
3.319406E+00,1.42699E+01,1.6363E+00,7.3859E+02,1.7306E+00,7.4032E+02,6.835E+02,3.735E-01
3.548445E+00,1.43185E+01,1.4614E+00,6.1706E+02,1.6643E+00,6.1872E+02,5.717E+02,3.494E-01
3.793288E+00,1.43972E+01,1.2999E+00,5.1345E+02,1.5972E+00,5.1505E+02,4.762E+02,3.269E-01
4.055024E+00,1.44122E+01,1.1509E+00,4.2524E+02,1.5295E+00,4.2677E+02,3.945E+02,3.058E-01
4.334821E+00,1.44148E+01,1.0190E+00,3.5220E+02,1.4617E+00,3.5366E+02,3.269E+02,2.860E-01
4.633924E+00,1.44092E+01,9.0223E-01,2.9172E+02,1.3941E+00,2.9311E+02,2.708E+02,2.676E-01
4.953664E+00,1.43980E+01,7.9890E-01,2.4164E+02,1.3272E+00,2.4297E+02,2.244E+02,2.503E-01
5.295467E+00,1.43830E+01,7.0743E-01,2.0016E+02,1.2613E+00,2.0142E+02,1.859E+02,2.341E-01
5.660855E+00,1.43657E+01,6.2644E-01,1.6580E+02,1.1967E+00,1.6700E+02,1.541E+02,2.190E-01
6.051453E+00,1.43470E+01,5.5475E-01,1.3735E+02,1.1336E+00,1.3848E+02,1.276E+02,2.049E-01
6.469004E+00,1.43275E+01,4.9128E-01,1.1379E+02,1.0722E+00,1.1486E+02,1.058E+02,1.917E-01
6.915365E+00,1.43080E+01,4.3509E-01,9.4267E+01,1.0128E+00,9.5280E+01,8.763E+01,1.793E-01
7.392525E+00,1.42890E+01,3.8534E-01,7.8099E+01,9.5551E-01,7.9055E+01,7.261E+01,1.677E-01
7.902609E+00,1.42709E+01,3.4129E-01,6.4707E+01,9.0049E-01,6.5607E+01,6.016E+01,1.569E-01
8.447890E+00,1.42537E+01,3.0059E-01,5.3312E+01,8.4782E-01,5.4160E+01,4.955E+01,1.468E-01
