E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0035635E+00,5.36323E+01,2.1529E+01,3.0073E+03,8.7430E+00,3.0160E+03,0.000E-01,6.188E-01
2.0135813E+00,5.37358E+01,2.1396E+01,2.9738E+03,8.7385E+00,2.9825E+03,0.000E-01,6.157E-01
2.0236492E+00,5.38370E+01,2.1263E+01,2.9406E+03,8.7338E+00,2.9493E+03,0.000E-01,6.127E-01
2.0337675E+00,5.39360E+01,2.1131E+01,2.9078E+03,8.7291E+00,2.9165E+03,0.000E-01,6.096E-01
2.0439363E+00,5.40331E+01,2.0999E+01,2.8753E+03,8.7241E+00,2.8841E+03,0.000E-01,6.066E-01
2.0541560E+00,5.41284E+01,2.0869E+01,2.8432E+03,8.7191E+00,2.8520E+03,0.000E-01,6.036E-01
2.0644268E+00,5.42218E+01,2.0739E+01,2.8115E+03,8.7139E+00,2.8202E+03,0.000E-01,6.006E-01
2.0747489E+00,5.43136E+01,2.0610E+01,2.7801E+03,8.7086E+00,2.7888E+03,0.000E-01,5.976E-01
2.0851227E+00,5.44038E+01,2.0482E+01,2.7490E+03,8.7031E+00,2.7577E+03,0.000E-01,5.946E-01
2.0955483E+00,5.44924E+01,2.0354E+01,2.7183E+03,8.6975E+00,2.7270E+03,0.000E-01,5.917E-01
2.1060260E+00,5.45796E+01,2.0227E+01,2.6879E+03,8.6918E+00,2.6966E+03,0.000E-01,5.887E-01
2.1165562E+00,5.46653E+01,2.0101E+01,2.6579E+03,8.6859E+00,2.6666E+03,0.000E-01,5.858E-01
2.1271389E+00,5.47497E+01,1.9976E+01,2.6282E+03,8.6799E+00,2.6369E+03,0.000E-01,5.829E-01
2.1377746E+00,5.48329E+01,1.9851E+01,2.5988E+03,8.6738E+00,2.6074E+03,0.000E-01,5.800E-01
2.1484635E+00,5.49148E+01,1.9727E+01,2.5697E+03,8.6676E+00,2.5784E+03,0.000E-01,5.771E-01
2.1592058E+00,5.49955E+01,1.9604E+01,2.5409E+03,8.6612E+00,2.5496E+03,0.000E-01,5.742E-01
2.1700018E+00,5.52956E+01,1.9476E+01,2.5118E+03,8.6547E+00,2.5205E+03,0.000E-01,5.714E-01
2.1808519E+00,5.53737E+01,1.9348E+01,2.4829E+03,8.6480E+00,2.4916E+03,0.000E-01,5.685E-01
2.1917561E+00,5.54502E+01,1.9221E+01,2.4544E+03,8.6413E+00,2.4630E+03,0.000E-01,5.657E-01
2.2027149E+00,5.55250E+01,1.9095E+01,2.4261E+03,8.6344E+00,2.4348E+03,0.000E-01,5.629E-01
2.2137285E+00,5.57481E+01,1.8969E+01,2.3981E+03,8.6273E+00,2.4068E+03,0.000E-01,5.601E-01
2.2247971E+00,5.58202E+01,1.8841E+01,2.3701E+03,8.6202E+00,2.3787E+03,0.000E-01,5.573E-01
2.2359211E+00,5.58904E+01,1.8713E+01,2.3423E+03,8.6129E+00,2.3509E+03,0.000E-01,5.545E-01
2.2471007E+00,5.59589E+01,1.8586E+01,2.3148E+03,8.6055E+00,2.3234E+03,0.000E-01,5.518E-01
2.2583362E+00,5.60256E+01,1.8459E+01,2.2875E+03,8.5979E+00,2.2961E+03,0.000E-01,5.490E-01
2.2696279E+00,5.60905E+01,1.8333E+01,2.2606E+03,8.5903E+00,2.2692E+03,0.000E-01,5.463E-01
