E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,4.53446E+01,8.3312E+00,1.4196E+03,7.1506E+00,1.4268E+03,0.000E+00,5.959E-01
2.224304E+00,4.52231E+01,7.5618E+00,1.2053E+03,7.0773E+00,1.2124E+03,0.000E+00,5.574E-01
2.377781E+00,4.50418E+01,6.8741E+00,1.0250E+03,6.9844E+00,1.0320E+03,0.000E+00,5.214E-01
2.541848E+00,4.48028E+01,6.2588E+00,8.7299E+02,6.8729E+00,8.7986E+02,0.000E+00,4.878E-01
2.717235E+00,4.45039E+01,5.7068E+00,7.4461E+02,6.7439E+00,7.5135E+02,0.000E+00,4.563E-01
2.904724E+00,4.41350E+01,5.2058E+00,6.3540E+02,6.5988E+00,6.4200E+02,0.000E+00,4.268E-01
3.105150E+00,4.36444E+01,4.6802E+00,5.3437E+02,6.4390E+00,5.4081E+02,0.000E+00,3.993E-01
3.319406E+00,4.28802E+01,4.1619E+00,4.4453E+02,6.2659E+00,4.5080E+02,0.000E+00,3.735E-01
3.548445E+00,4.16355E+01,3.7073E+00,3.7041E+02,6.0811E+00,3.7649E+02,0.000E+00,3.494E-01
3.793288E+00,3.89148E+01,3.3031E+00,3.0873E+02,5.8861E+00,3.1462E+02,0.000E+00,3.269E-01
3.850224E+00,3.75113E+01,3.2198E+00,2.9649E+02,5.8413E+00,3.0233E+02,0.000E+00,3.220E-01
3.909156E+00,3.40273E+01,3.1372E+00,2.8453E+02,5.7953E+00,2.9033E+02,0.000E+00,3.172E-01
3.924871E+00,3.00304E+01,3.1158E+00,2.8146E+02,5.7830E+00,2.8724E+02,0.000E+00,3.159E-01
3.948444E+00,3.39408E+01,1.0820E+01,9.7158E+02,5.7647E+00,9.7734E+02,0.000E+00,3.140E-01
4.007376E+00,3.71907E+01,1.0465E+01,9.2590E+02,5.7191E+00,9.3162E+02,0.000E+00,3.094E-01
4.055024E+00,3.79931E+01,1.0191E+01,8.9103E+02,5.6825E+00,8.9671E+02,0.000E+00,3.058E-01
4.072978E+00,3.81101E+01,1.0090E+01,8.7834E+02,5.6688E+00,8.8401E+02,0.000E+00,3.044E-01
4.135319E+00,3.73576E+01,9.7618E+00,8.3693E+02,5.6213E+00,8.4255E+02,0.000E+00,2.998E-01
4.151944E+00,3.55879E+01,9.6868E+00,8.2717E+02,5.6087E+00,8.3278E+02,0.000E+00,2.986E-01
4.176880E+00,3.78115E+01,1.3408E+01,1.1381E+03,5.5898E+00,1.1437E+03,0.000E+00,2.968E-01
4.239222E+00,4.00581E+01,1.3018E+01,1.0887E+03,5.5430E+00,1.0942E+03,0.000E+00,2.925E-01
4.334821E+00,4.14391E+01,1.2464E+01,1.0194E+03,5.4719E+00,1.0249E+03,0.000E+00,2.860E-01
4.375406E+00,4.17235E+01,1.2248E+01,9.9248E+02,5.4420E+00,9.9792E+02,0.000E+00,2.834E-01
4.442377E+00,4.16034E+01,1.1923E+01,9.5159E+02,5.3930E+00,9.5698E+02,0.000E+00,2.791E-01
4.460236E+00,4.08219E+01,1.1840E+01,9.4118E+02,5.3801E+00,9.4656E+02,0.000E+00,2.780E-01
4.487024E+00,4.19740E+01,1.3561E+01,1.0715E+03,5.3607E+00,1.0769E+03,0.000E+00,2.763E-01
4.553994E+00,4.33023E+01,1.3250E+01,1.0315E+03,5.3125E+00,1.0368E+03,0.000E+00,2.723E-01
4.633924E+00,4.41919E+01,1.2901E+01,9.8705E+02,5.2557E+00,9.9231E+02,0.000E+00,2.676E-01
4.953664E+00,4.62573E+01,1.1694E+01,8.3698E+02,5.0356E+00,8.4202E+02,0.000E+00,2.503E-01
5.295467E+00,4.75557E+01,1.0597E+01,7.0951E+02,4.8129E+00,7.1432E+02,0.000E+00,2.341E-01
5.660855E+00,4.84498E+01,9.5551E+00,5.9843E+02,4.5891E+00,6.0302E+02,0.000E+00,2.190E-01
6.051453E+00,4.90715E+01,8.5908E+00,5.0331E+02,4.3653E+00,5.0768E+02,0.000E+00,2.049E-01
6.469004E+00,4.95000E+01,7.7135E+00,4.2274E+02,4.1430E+00,4.2688E+02,0.000E+00,1.917E-01
6.915365E+00,4.97938E+01,6.9246E+00,3.5501E+02,3.9230E+00,3.5893E+02,0.000E+00,1.793E-01
