E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.004793E+00,1.92132E+01,1.0740E+01,2.5728E+03,5.4855E+00,2.5783E+03,0.000E+00,6.184E-01
2.016834E+00,2.19144E+01,1.4918E+01,3.5523E+03,5.4806E+00,3.5578E+03,0.000E+00,6.147E-01
2.046936E+00,2.48433E+01,1.4547E+01,3.4132E+03,5.4679E+00,3.4187E+03,0.000E+00,6.057E-01
2.080733E+00,2.64766E+01,1.4159E+01,3.2682E+03,5.4530E+00,3.2737E+03,0.000E+00,5.959E-01
2.171974E+00,2.85735E+01,1.3212E+01,2.9213E+03,5.4099E+00,2.9267E+03,0.000E+00,5.708E-01
2.205219E+00,2.84259E+01,1.2897E+01,2.8087E+03,5.3933E+00,2.8141E+03,0.000E+00,5.622E-01
2.214084E+00,2.76147E+01,1.2815E+01,2.7797E+03,5.3887E+00,2.7851E+03,0.000E+00,5.600E-01
2.224304E+00,2.85604E+01,1.4635E+01,3.1599E+03,5.3835E+00,3.1653E+03,0.000E+00,5.574E-01
2.227382E+00,2.88147E+01,1.4605E+01,3.1490E+03,5.3819E+00,3.1544E+03,0.000E+00,5.566E-01
2.260626E+00,3.02095E+01,1.4284E+01,3.0346E+03,5.3645E+00,3.0400E+03,0.000E+00,5.485E-01
2.377781E+00,3.24386E+01,1.3260E+01,2.6781E+03,5.3000E+00,2.6834E+03,0.000E+00,5.214E-01
2.541848E+00,3.41917E+01,1.2045E+01,2.2758E+03,5.2034E+00,2.2810E+03,0.000E+00,4.878E-01
2.717235E+00,3.53853E+01,1.0915E+01,1.9291E+03,5.0948E+00,1.9342E+03,0.000E+00,4.563E-01
2.904724E+00,3.62474E+01,9.8856E+00,1.6345E+03,4.9750E+00,1.6395E+03,0.000E+00,4.268E-01
3.105150E+00,3.68987E+01,8.9071E+00,1.3776E+03,4.8452E+00,1.3824E+03,0.000E+00,3.993E-01
3.319406E+00,3.73400E+01,7.9961E+00,1.1569E+03,4.7066E+00,1.1616E+03,0.000E+00,3.735E-01
3.548445E+00,3.76486E+01,7.1843E+00,9.7235E+02,4.5602E+00,9.7691E+02,0.000E+00,3.494E-01
