E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0035635E+00,5.31790E+01,2.5408E+01,3.3578E+03,9.2339E+00,3.3670E+03,0.000E-01,6.188E-01
2.0135813E+00,5.34106E+01,2.5251E+01,3.3204E+03,9.2293E+00,3.3297E+03,0.000E-01,6.157E-01
2.0236492E+00,5.36213E+01,2.5096E+01,3.2836E+03,9.2247E+00,3.2928E+03,0.000E-01,6.127E-01
2.0337675E+00,5.38172E+01,2.4942E+01,3.2473E+03,9.2198E+00,3.2565E+03,0.000E-01,6.096E-01
2.0439363E+00,5.40019E+01,2.4790E+01,3.2114E+03,9.2149E+00,3.2206E+03,0.000E-01,6.066E-01
2.0541560E+00,5.41777E+01,2.4639E+01,3.1759E+03,9.2098E+00,3.1851E+03,0.000E-01,6.036E-01
2.0644268E+00,5.43459E+01,2.4489E+01,3.1409E+03,9.2045E+00,3.1501E+03,0.000E-01,6.006E-01
2.0747489E+00,5.45082E+01,2.4342E+01,3.1066E+03,9.1991E+00,3.1158E+03,0.000E-01,5.976E-01
2.0851227E+00,5.46662E+01,2.4197E+01,3.0726E+03,9.1936E+00,3.0818E+03,0.000E-01,5.946E-01
2.0955483E+00,5.48205E+01,2.4052E+01,3.0391E+03,9.1879E+00,3.0482E+03,0.000E-01,5.917E-01
2.1060260E+00,5.49700E+01,2.3902E+01,3.0051E+03,9.1821E+00,3.0143E+03,0.000E-01,5.887E-01
2.1165562E+00,5.51146E+01,2.3753E+01,2.9715E+03,9.1762E+00,2.9807E+03,0.000E-01,5.858E-01
2.1271389E+00,5.52548E+01,2.3606E+01,2.9384E+03,9.1701E+00,2.9475E+03,0.000E-01,5.829E-01
2.1377746E+00,5.53910E+01,2.3459E+01,2.9056E+03,9.1639E+00,2.9148E+03,0.000E-01,5.800E-01
2.1484635E+00,5.55237E+01,2.3314E+01,2.8732E+03,9.1575E+00,2.8824E+03,0.000E-01,5.771E-01
2.1592058E+00,5.56530E+01,2.3169E+01,2.8412E+03,9.1510E+00,2.8504E+03,0.000E-01,5.742E-01
2.1700018E+00,5.57793E+01,2.3026E+01,2.8096E+03,9.1444E+00,2.8188E+03,0.000E-01,5.714E-01
2.1808519E+00,5.59026E+01,2.2884E+01,2.7784E+03,9.1376E+00,2.7875E+03,0.000E-01,5.685E-01
2.1917561E+00,5.60233E+01,2.2743E+01,2.7475E+03,9.1307E+00,2.7566E+03,0.000E-01,5.657E-01
2.2027149E+00,5.61415E+01,2.2602E+01,2.7170E+03,9.1237E+00,2.7261E+03,0.000E-01,5.629E-01
2.2137285E+00,5.62573E+01,2.2463E+01,2.6868E+03,9.1165E+00,2.6959E+03,0.000E-01,5.601E-01
2.2247971E+00,5.63709E+01,2.2325E+01,2.6570E+03,9.1092E+00,2.6661E+03,0.000E-01,5.573E-01
2.2359211E+00,5.64824E+01,2.2187E+01,2.6275E+03,9.1017E+00,2.6366E+03,0.000E-01,5.545E-01
2.2471007E+00,5.65919E+01,2.2051E+01,2.5983E+03,9.0942E+00,2.6074E+03,0.000E-01,5.518E-01
2.2583362E+00,5.66995E+01,2.1915E+01,2.5695E+03,9.0865E+00,2.5786E+03,0.000E-01,5.490E-01
2.2696279E+00,5.68055E+01,2.1781E+01,2.5410E+03,9.0786E+00,2.5500E+03,0.000E-01,5.463E-01
2.2809760E+00,5.69099E+01,2.1647E+01,2.5128E+03,9.0706E+00,2.5219E+03,0.000E-01,5.436E-01
2.2923809E+00,5.70129E+01,2.1514E+01,2.4849E+03,9.0625E+00,2.4940E+03,0.000E-01,5.409E-01
2.3038428E+00,5.71145E+01,2.1379E+01,2.4571E+03,9.0543E+00,2.4662E+03,0.000E-01,5.382E-01
2.3153620E+00,5.72137E+01,2.1244E+01,2.4295E+03,9.0459E+00,2.4385E+03,0.000E-01,5.355E-01
2.3269388E+00,5.73108E+01,2.1110E+01,2.4021E+03,9.0374E+00,2.4111E+03,0.000E-01,5.328E-01
2.3385735E+00,5.74059E+01,2.0977E+01,2.3750E+03,9.0287E+00,2.3841E+03,0.000E-01,5.302E-01
2.3502664E+00,5.74991E+01,2.0844E+01,2.3483E+03,9.0200E+00,2.3573E+03,0.000E-01,5.275E-01
2.3620177E+00,5.75905E+01,2.0712E+01,2.3218E+03,9.0111E+00,2.3308E+03,0.000E-01,5.249E-01
2.3738278E+00,5.76802E+01,2.0581E+01,2.2956E+03,9.0021E+00,2.3046E+03,0.000E-01,5.223E-01
2.3856970E+00,5.77683E+01,2.0451E+01,2.2697E+03,8.9929E+00,2.2787E+03,0.000E-01,5.197E-01
2.3976254E+00,5.78547E+01,2.0321E+01,2.2441E+03,8.9836E+00,2.2531E+03,0.000E-01,5.171E-01
2.4096136E+00,5.79397E+01,2.0192E+01,2.2188E+03,8.9742E+00,2.2278E+03,0.000E-01,5.145E-01
2.4216616E+00,5.80231E+01,2.0064E+01,2.1938E+03,8.9647E+00,2.2028E+03,0.000E-01,5.120E-01
2.4337699E+00,5.81052E+01,1.9937E+01,2.1690E+03,8.9550E+00,2.1780E+03,0.000E-01,5.094E-01
2.4459388E+00,5.81860E+01,1.9811E+01,2.1446E+03,8.9452E+00,2.1535E+03,0.000E-01,5.069E-01
2.4581685E+00,5.82654E+01,1.9685E+01,2.1204E+03,8.9353E+00,2.1293E+03,0.000E-01,5.044E-01
2.4704593E+00,5.83436E+01,1.9560E+01,2.0964E+03,8.9253E+00,2.1053E+03,0.000E-01,5.019E-01
2.4828116E+00,5.86401E+01,1.9436E+01,2.0727E+03,8.9151E+00,2.0816E+03,0.000E-01,4.994E-01
2.4952257E+00,5.87160E+01,1.9308E+01,2.0488E+03,8.9049E+00,2.0577E+03,0.000E-01,4.969E-01
2.5077018E+00,5.87903E+01,1.9181E+01,2.0252E+03,8.8944E+00,2.0341E+03,0.000E-01,4.944E-01
2.5202403E+00,5.88630E+01,1.9054E+01,2.0019E+03,8.8839E+00,2.0108E+03,0.000E-01,4.920E-01
2.5328415E+00,5.89343E+01,1.8929E+01,1.9788E+03,8.8733E+00,1.9877E+03,0.000E-01,4.895E-01
2.5455057E+00,5.90042E+01,1.8804E+01,1.9560E+03,8.8625E+00,1.9648E+03,0.000E-01,4.871E-01
2.5582333E+00,5.92221E+01,1.8678E+01,1.9332E+03,8.8516E+00,1.9421E+03,0.000E-01,4.846E-01
2.5710244E+00,5.92892E+01,1.8552E+01,1.9106E+03,8.8406E+00,1.9194E+03,0.000E-01,4.822E-01
2.5838796E+00,5.93545E+01,1.8426E+01,1.8882E+03,8.8295E+00,1.8970E+03,0.000E-01,4.798E-01
2.5967990E+00,5.94182E+01,1.8301E+01,1.8660E+03,8.8182E+00,1.8749E+03,0.000E-01,4.775E-01
2.6097829E+00,5.94804E+01,1.8177E+01,1.8442E+03,8.8069E+00,1.8530E+03,0.000E-01,4.751E-01
2.6228319E+00,5.95411E+01,1.8054E+01,1.8226E+03,8.7954E+00,1.8314E+03,0.000E-01,4.727E-01
2.6359460E+00,5.96004E+01,1.7931E+01,1.8012E+03,8.7838E+00,1.8100E+03,0.000E-01,4.704E-01
2.6491257E+00,5.96584E+01,1.7810E+01,1.7801E+03,8.7721E+00,1.7889E+03,0.000E-01,4.680E-01
2.6623714E+00,5.97150E+01,1.7689E+01,1.7593E+03,8.7602E+00,1.7680E+03,0.000E-01,4.657E-01
2.6756832E+00,5.97704E+01,1.7570E+01,1.7386E+03,8.7483E+00,1.7474E+03,0.000E-01,4.634E-01
2.6890617E+00,5.98246E+01,1.7451E+01,1.7183E+03,8.7362E+00,1.7270E+03,0.000E-01,4.611E-01
2.7025070E+00,5.98777E+01,1.7333E+01,1.6982E+03,8.7240E+00,1.7069E+03,0.000E-01,4.588E-01
2.7160195E+00,5.99296E+01,1.7216E+01,1.6783E+03,8.7117E+00,1.6870E+03,0.000E-01,4.565E-01
2.7295996E+00,5.99805E+01,1.7099E+01,1.6587E+03,8.6993E+00,1.6674E+03,0.000E-01,4.542E-01
2.7432476E+00,6.00304E+01,1.6984E+01,1.6393E+03,8.6868E+00,1.6480E+03,0.000E-01,4.520E-01
2.7569638E+00,6.00793E+01,1.6869E+01,1.6201E+03,8.6742E+00,1.6288E+03,0.000E-01,4.497E-01
2.7707486E+00,6.01273E+01,1.6753E+01,1.6010E+03,8.6615E+00,1.6097E+03,0.000E-01,4.475E-01
2.7846024E+00,6.01743E+01,1.6638E+01,1.5820E+03,8.6486E+00,1.5907E+03,0.000E-01,4.452E-01
2.7985254E+00,6.02204E+01,1.6523E+01,1.5633E+03,8.6357E+00,1.5719E+03,0.000E-01,4.430E-01
2.8125180E+00,6.02655E+01,1.6409E+01,1.5448E+03,8.6226E+00,1.5534E+03,0.000E-01,4.408E-01
2.8265806E+00,6.03097E+01,1.6296E+01,1.5265E+03,8.6094E+00,1.5351E+03,0.000E-01,4.386E-01
2.8407135E+00,6.03531E+01,1.6184E+01,1.5085E+03,8.5962E+00,1.5171E+03,0.000E-01,4.365E-01
2.8549171E+00,6.03958E+01,1.6073E+01,1.4907E+03,8.5828E+00,1.4993E+03,0.000E-01,4.343E-01
2.8691917E+00,6.04377E+01,1.5962E+01,1.4731E+03,8.5693E+00,1.4816E+03,0.000E-01,4.321E-01
2.8835376E+00,6.04789E+01,1.5853E+01,1.4557E+03,8.5557E+00,1.4643E+03,0.000E-01,4.300E-01
2.8979553E+00,6.05195E+01,1.5745E+01,1.4385E+03,8.5420E+00,1.4471E+03,0.000E-01,4.278E-01
2.9124451E+00,6.05595E+01,1.5637E+01,1.4216E+03,8.5282E+00,1.4301E+03,0.000E-01,4.257E-01
2.9270073E+00,6.05992E+01,1.5530E+01,1.4049E+03,8.5143E+00,1.4134E+03,0.000E-01,4.236E-01
2.9416424E+00,6.06384E+01,1.5424E+01,1.3884E+03,8.5003E+00,1.3969E+03,0.000E-01,4.215E-01
2.9563506E+00,6.06775E+01,1.5319E+01,1.3720E+03,8.4861E+00,1.3805E+03,0.000E-01,4.194E-01
2.9711323E+00,6.07165E+01,1.5215E+01,1.3559E+03,8.4719E+00,1.3644E+03,0.000E-01,4.173E-01
2.9859880E+00,6.07557E+01,1.5112E+01,1.3400E+03,8.4576E+00,1.3485E+03,0.000E-01,4.152E-01
3.0009179E+00,6.07956E+01,1.5009E+01,1.3243E+03,8.4432E+00,1.3327E+03,0.000E-01,4.132E-01
