E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,6.95040E+01,1.6713E+01,1.4566E+03,1.2009E+01,1.4686E+03,0.000E+00,5.959E-01
2.224304E+00,6.93177E+01,1.5559E+01,1.2685E+03,1.1967E+01,1.2805E+03,0.000E+00,5.574E-01
2.377781E+00,6.89539E+01,1.4510E+01,1.1067E+03,1.1890E+01,1.1186E+03,0.000E+00,5.214E-01
2.541848E+00,6.83469E+01,1.3550E+01,9.6676E+02,1.1781E+01,9.7854E+02,0.000E+00,4.878E-01
2.717235E+00,6.73970E+01,1.2670E+01,8.4564E+02,1.1640E+01,8.5728E+02,0.000E+00,4.563E-01
2.904724E+00,6.58273E+01,1.1779E+01,7.3537E+02,1.1468E+01,7.4684E+02,0.000E+00,4.268E-01
3.105150E+00,6.27555E+01,1.0766E+01,6.2875E+02,1.1267E+01,6.4002E+02,0.000E+00,3.993E-01
3.265360E+00,5.64413E+01,9.9671E+00,5.5355E+02,1.1098E+01,5.6465E+02,0.000E+00,3.797E-01
3.315340E+00,4.98314E+01,9.7405E+00,5.3281E+02,1.1044E+01,5.4385E+02,0.000E+00,3.740E-01
3.319406E+00,4.85588E+01,9.7225E+00,5.3117E+02,1.1040E+01,5.4221E+02,0.000E+00,3.735E-01
3.328668E+00,4.26554E+01,9.6817E+00,5.2747E+02,1.1030E+01,5.3850E+02,0.000E+00,3.725E-01
3.348660E+00,4.89995E+01,2.3222E+01,1.2576E+03,1.1008E+01,1.2686E+03,0.000E+00,3.703E-01
3.398640E+00,5.38257E+01,2.3169E+01,1.2363E+03,1.0954E+01,1.2473E+03,0.000E+00,3.648E-01
3.420984E+00,5.43109E+01,2.3148E+01,1.2271E+03,1.0929E+01,1.2380E+03,0.000E+00,3.624E-01
3.473346E+00,5.21394E+01,2.3103E+01,1.2063E+03,1.0871E+01,1.2172E+03,0.000E+00,3.570E-01
3.487309E+00,4.72186E+01,2.3093E+01,1.2009E+03,1.0856E+01,1.2118E+03,0.000E+00,3.555E-01
3.508254E+00,5.36217E+01,3.3748E+01,1.7445E+03,1.0833E+01,1.7553E+03,0.000E+00,3.534E-01
3.548445E+00,5.91957E+01,3.3101E+01,1.6917E+03,1.0788E+01,1.7025E+03,0.000E+00,3.494E-01
3.560616E+00,6.02205E+01,3.2903E+01,1.6758E+03,1.0775E+01,1.6866E+03,0.000E+00,3.482E-01
3.793288E+00,6.89910E+01,2.9417E+01,1.4064E+03,1.0514E+01,1.4169E+03,0.000E+00,3.269E-01
3.965178E+00,7.07696E+01,2.7185E+01,1.2433E+03,1.0321E+01,1.2536E+03,0.000E+00,3.127E-01
4.025870E+00,6.96889E+01,2.6448E+01,1.1914E+03,1.0253E+01,1.2017E+03,0.000E+00,3.080E-01
4.042054E+00,6.76045E+01,2.6257E+01,1.1780E+03,1.0235E+01,1.1882E+03,0.000E+00,3.067E-01
4.055024E+00,6.88475E+01,3.0612E+01,1.3691E+03,1.0220E+01,1.3793E+03,0.000E+00,3.058E-01
4.066331E+00,7.01740E+01,3.0470E+01,1.3589E+03,1.0207E+01,1.3691E+03,0.000E+00,3.049E-01
