E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0035635E+00,5.18756E+01,2.8797E+01,3.5802E+03,9.9705E+00,3.5902E+03,0.000E-01,6.188E-01
2.0135813E+00,5.20754E+01,2.8583E+01,3.5359E+03,9.9662E+00,3.5458E+03,0.000E-01,6.157E-01
2.0236492E+00,5.22523E+01,2.8371E+01,3.4922E+03,9.9618E+00,3.5022E+03,0.000E-01,6.127E-01
2.0337675E+00,5.24038E+01,2.8162E+01,3.4493E+03,9.9572E+00,3.4592E+03,0.000E-01,6.096E-01
2.0439363E+00,5.25249E+01,2.7956E+01,3.4070E+03,9.9525E+00,3.4169E+03,0.000E-01,6.066E-01
2.0541560E+00,5.26060E+01,2.7753E+01,3.3654E+03,9.9476E+00,3.3753E+03,0.000E-01,6.036E-01
2.0644268E+00,5.26266E+01,2.7552E+01,3.3244E+03,9.9426E+00,3.3343E+03,0.000E-01,6.006E-01
2.0747489E+00,5.25309E+01,2.7353E+01,3.2840E+03,9.9374E+00,3.2939E+03,0.000E-01,5.976E-01
2.0851227E+00,5.20407E+01,2.7157E+01,3.2442E+03,9.9321E+00,3.2541E+03,0.000E-01,5.946E-01
2.0874384E+00,5.16756E+01,2.7113E+01,3.2354E+03,9.9309E+00,3.2454E+03,0.000E-01,5.940E-01
2.0921614E+00,5.17443E+01,2.8924E+01,3.4437E+03,9.9284E+00,3.4537E+03,0.000E-01,5.926E-01
2.0955483E+00,5.23530E+01,2.8854E+01,3.4298E+03,9.9266E+00,3.4397E+03,0.000E-01,5.917E-01
2.1060260E+00,5.31829E+01,2.8638E+01,3.3872E+03,9.9210E+00,3.3972E+03,0.000E-01,5.887E-01
2.1165562E+00,5.36739E+01,2.8425E+01,3.3453E+03,9.9152E+00,3.3552E+03,0.000E-01,5.858E-01
2.1271389E+00,5.40531E+01,2.8214E+01,3.3040E+03,9.9093E+00,3.3139E+03,0.000E-01,5.829E-01
2.1377746E+00,5.43726E+01,2.8006E+01,3.2632E+03,9.9032E+00,3.2731E+03,0.000E-01,5.800E-01
2.1484635E+00,5.46529E+01,2.7800E+01,3.2231E+03,9.8969E+00,3.2330E+03,0.000E-01,5.771E-01
2.1592058E+00,5.49043E+01,2.7596E+01,3.1835E+03,9.8906E+00,3.1934E+03,0.000E-01,5.742E-01
2.1700018E+00,5.51323E+01,2.7394E+01,3.1445E+03,9.8840E+00,3.1544E+03,0.000E-01,5.714E-01
2.1808519E+00,5.53400E+01,2.7194E+01,3.1061E+03,9.8773E+00,3.1159E+03,0.000E-01,5.685E-01
2.1917561E+00,5.55284E+01,2.6996E+01,3.0681E+03,9.8705E+00,3.0780E+03,0.000E-01,5.657E-01
2.2027149E+00,5.57004E+01,2.6811E+01,3.0319E+03,9.8635E+00,3.0418E+03,0.000E-01,5.629E-01
2.2137285E+00,5.58613E+01,2.6629E+01,2.9964E+03,9.8564E+00,3.0062E+03,0.000E-01,5.601E-01
2.2247971E+00,5.60099E+01,2.6450E+01,2.9614E+03,9.8491E+00,2.9712E+03,0.000E-01,5.573E-01
2.2359211E+00,5.61451E+01,2.6273E+01,2.9269E+03,9.8417E+00,2.9367E+03,0.000E-01,5.545E-01
2.2471007E+00,5.62648E+01,2.6098E+01,2.8930E+03,9.8342E+00,2.9028E+03,0.000E-01,5.518E-01
2.2583362E+00,5.63654E+01,2.5925E+01,2.8595E+03,9.8264E+00,2.8693E+03,0.000E-01,5.490E-01
2.2696279E+00,5.64399E+01,2.5754E+01,2.8265E+03,9.8186E+00,2.8363E+03,0.000E-01,5.463E-01
2.2809760E+00,5.64730E+01,2.5585E+01,2.7940E+03,9.8106E+00,2.8038E+03,0.000E-01,5.436E-01
2.2923809E+00,5.64203E+01,2.5418E+01,2.7620E+03,9.8025E+00,2.7718E+03,0.000E-01,5.409E-01
2.3022094E+00,5.61306E+01,2.5276E+01,2.7348E+03,9.7954E+00,2.7446E+03,0.000E-01,5.385E-01
2.3038428E+00,5.59885E+01,2.5253E+01,2.7304E+03,9.7942E+00,2.7402E+03,0.000E-01,5.382E-01
2.3113904E+00,5.62497E+01,2.6325E+01,2.8370E+03,9.7887E+00,2.8467E+03,0.000E-01,5.364E-01
2.3153620E+00,5.65389E+01,2.6267E+01,2.8259E+03,9.7857E+00,2.8356E+03,0.000E-01,5.355E-01
2.3269388E+00,5.70159E+01,2.6100E+01,2.7939E+03,9.7772E+00,2.8037E+03,0.000E-01,5.328E-01
2.3385735E+00,5.73383E+01,2.5934E+01,2.7624E+03,9.7685E+00,2.7722E+03,0.000E-01,5.302E-01
2.3502664E+00,5.76033E+01,2.5770E+01,2.7313E+03,9.7596E+00,2.7410E+03,0.000E-01,5.275E-01
2.3620177E+00,5.78370E+01,2.5608E+01,2.7006E+03,9.7506E+00,2.7103E+03,0.000E-01,5.249E-01
2.3738278E+00,5.80503E+01,2.5447E+01,2.6702E+03,9.7415E+00,2.6800E+03,0.000E-01,5.223E-01
