E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,2.27317E+01,2.3764E+00,9.4343E+02,3.2745E+00,9.4670E+02,0.000E+00,5.959E-01
2.224304E+00,2.26720E+01,2.1275E+00,7.9009E+02,3.2088E+00,7.9330E+02,0.000E+00,5.574E-01
2.377781E+00,2.26035E+01,1.9068E+00,6.6245E+02,3.1360E+00,6.6559E+02,0.000E+00,5.214E-01
2.541848E+00,2.25308E+01,1.7099E+00,5.5567E+02,3.0567E+00,5.5873E+02,0.000E+00,4.878E-01
2.717235E+00,2.24528E+01,1.5291E+00,4.6485E+02,2.9716E+00,4.6782E+02,0.000E+00,4.563E-01
2.904724E+00,2.23715E+01,1.3687E+00,3.8923E+02,2.8815E+00,3.9211E+02,0.000E+00,4.268E-01
3.105150E+00,2.22923E+01,1.2150E+00,3.2323E+02,2.7871E+00,3.2602E+02,0.000E+00,3.993E-01
3.319406E+00,2.21901E+01,1.0704E+00,2.6638E+02,2.6892E+00,2.6907E+02,0.000E+00,3.735E-01
3.548445E+00,2.20721E+01,9.4397E-01,2.1975E+02,2.5884E+00,2.2234E+02,0.000E+00,3.494E-01
3.793288E+00,2.19364E+01,8.3331E-01,1.8147E+02,2.4856E+00,1.8396E+02,0.000E+00,3.269E-01
4.055024E+00,2.17762E+01,7.3636E-01,1.5001E+02,2.3813E+00,1.5239E+02,0.000E+00,3.058E-01
4.334821E+00,2.15764E+01,6.5136E-01,1.2412E+02,2.2763E+00,1.2640E+02,0.000E+00,2.860E-01
4.633924E+00,2.13044E+01,5.7675E-01,1.0281E+02,2.1711E+00,1.0498E+02,0.000E+00,2.676E-01
4.953664E+00,2.08694E+01,5.1121E-01,8.5246E+01,2.0664E+00,8.7312E+01,0.000E+00,2.503E-01
5.295467E+00,1.98136E+01,4.5356E-01,7.0752E+01,1.9627E+00,7.2715E+01,0.000E+00,2.341E-01
5.355798E+00,1.93670E+01,4.4449E-01,6.8556E+01,1.9452E+00,7.0501E+01,0.000E+00,2.315E-01
5.437774E+00,1.78916E+01,4.3262E-01,6.5720E+01,1.9218E+00,6.7642E+01,0.000E+00,2.280E-01
5.459635E+00,1.61109E+01,4.2954E-01,6.4991E+01,1.9157E+00,6.6907E+01,0.000E+00,2.271E-01
5.492425E+00,1.79281E+01,3.9371E+00,5.9213E+02,1.9065E+00,5.9404E+02,5.282E+02,2.257E-01
5.574402E+00,1.95732E+01,3.8274E+00,5.6717E+02,1.8839E+00,5.6905E+02,5.058E+02,2.224E-01
5.660855E+00,2.02817E+01,3.7167E+00,5.4235E+02,1.8604E+00,5.4421E+02,4.836E+02,2.190E-01
6.051453E+00,2.15912E+01,3.3154E+00,4.5257E+02,1.7602E+00,4.5433E+02,4.037E+02,2.049E-01
6.469004E+00,2.21944E+01,2.9844E+00,3.8109E+02,1.6622E+00,3.8275E+02,3.404E+02,1.917E-01
6.915365E+00,2.25734E+01,2.6931E+00,3.2170E+02,1.5670E+00,3.2327E+02,2.878E+02,1.793E-01
7.392525E+00,2.28396E+01,2.4213E+00,2.7056E+02,1.4747E+00,2.7203E+02,2.423E+02,1.677E-01
7.902609E+00,2.30228E+01,2.1691E+00,2.2673E+02,1.3857E+00,2.2812E+02,2.031E+02,1.569E-01
8.447890E+00,2.31513E+01,1.9414E+00,1.8984E+02,1.3001E+00,1.9114E+02,1.701E+02,1.468E-01
9.030794E+00,2.32454E+01,1.7355E+00,1.5875E+02,1.2181E+00,1.5997E+02,1.423E+02,1.373E-01
9.653919E+00,2.33090E+01,1.5457E+00,1.3226E+02,1.1399E+00,1.3340E+02,1.187E+02,1.284E-01
2.011215E+01,2.33018E+01,4.0180E-01,1.6503E+01,5.2579E-01,1.7029E+01,1.493E+01,6.165E-02
2.149988E+01,2.32816E+01,3.5508E-01,1.3643E+01,4.9023E-01,1.4133E+01,1.235E+01,5.767E-02
2.298338E+01,2.32624E+01,3.1380E-01,1.1279E+01,4.5746E-01,1.1736E+01,1.021E+01,5.395E-02
2.456923E+01,2.32443E+01,2.7646E-01,9.2949E+00,4.2733E-01,9.7222E+00,8.415E+00,5.046E-02
2.626450E+01,2.32271E+01,2.4293E-01,7.6406E+00,3.9966E-01,8.0403E+00,6.915E+00,4.721E-02
2.807676E+01,2.32099E+01,2.1236E-01,6.2480E+00,3.7430E-01,6.6223E+00,5.655E+00,4.416E-02
3.001405E+01,2.31928E+01,1.8533E-01,5.1006E+00,3.5110E-01,5.4517E+00,4.617E+00,4.131E-02
3.208502E+01,2.31764E+01,1.6172E-01,4.1637E+00,3.2989E-01,4.4936E+00,3.770E+00,3.864E-02
3.429889E+01,2.31610E+01,1.4113E-01,3.3990E+00,3.1053E-01,3.7095E+00,3.078E+00,3.615E-02
3.666551E+01,2.31466E+01,1.2316E-01,2.7748E+00,2.9287E-01,3.0677E+00,2.513E+00,3.381E-02
3.919543E+01,2.31332E+01,1.0749E-01,2.2653E+00,2.7678E-01,2.5421E+00,2.052E+00,3.163E-02
4.189992E+01,2.31208E+01,9.3808E-02,1.8494E+00,2.6212E-01,2.1115E+00,1.675E+00,2.959E-02
4.479101E+01,2.31094E+01,8.1873E-02,1.5099E+00,2.4876E-01,1.7587E+00,1.368E+00,2.768E-02
4.788159E+01,2.30989E+01,7.1458E-02,1.2328E+00,2.3660E-01,1.4694E+00,1.117E+00,2.589E-02
5.118542E+01,2.30894E+01,6.2370E-02,1.0065E+00,2.2551E-01,1.2320E+00,9.119E-01,2.422E-02
5.471721E+01,2.30806E+01,5.4438E-02,8.2184E-01,2.1540E-01,1.0372E+00,7.446E-01,2.266E-02
5.849270E+01,2.30727E+01,4.7517E-02,6.7105E-01,2.0617E-01,8.7722E-01,6.079E-01,2.120E-02
6.252870E+01,2.30654E+01,4.1476E-02,5.4793E-01,1.9772E-01,7.4565E-01,4.964E-01,1.983E-02
6.684318E+01,2.30589E+01,3.6204E-02,4.4742E-01,1.8999E-01,6.3741E-01,4.053E-01,1.855E-02
7.145536E+01,2.30530E+01,3.1603E-02,3.6535E-01,1.8288E-01,5.4823E-01,3.309E-01,1.735E-02
