E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0035635E+00,4.53419E+01,3.2907E+01,3.7593E+03,1.0577E+01,3.7698E+03,0.000E-01,6.188E-01
2.0135813E+00,4.59281E+01,3.2670E+01,3.7137E+03,1.0573E+01,3.7242E+03,0.000E-01,6.157E-01
2.0236492E+00,4.64771E+01,3.2436E+01,3.6686E+03,1.0569E+01,3.6792E+03,0.000E-01,6.127E-01
2.0337675E+00,4.69922E+01,3.2202E+01,3.6241E+03,1.0565E+01,3.6347E+03,0.000E-01,6.096E-01
2.0439363E+00,4.74762E+01,3.1971E+01,3.5802E+03,1.0560E+01,3.5908E+03,0.000E-01,6.066E-01
2.0541560E+00,4.79314E+01,3.1742E+01,3.5368E+03,1.0556E+01,3.5474E+03,0.000E-01,6.036E-01
2.0644268E+00,4.83597E+01,3.1514E+01,3.4939E+03,1.0551E+01,3.5045E+03,0.000E-01,6.006E-01
2.0747489E+00,4.87627E+01,3.1288E+01,3.4516E+03,1.0546E+01,3.4622E+03,0.000E-01,5.976E-01
2.0851227E+00,4.91417E+01,3.1063E+01,3.4098E+03,1.0541E+01,3.4203E+03,0.000E-01,5.946E-01
2.0955483E+00,4.94977E+01,3.0840E+01,3.3685E+03,1.0536E+01,3.3791E+03,0.000E-01,5.917E-01
2.1060260E+00,4.98314E+01,3.0619E+01,3.3277E+03,1.0531E+01,3.3383E+03,0.000E-01,5.887E-01
2.1165562E+00,5.01433E+01,3.0400E+01,3.2875E+03,1.0526E+01,3.2980E+03,0.000E-01,5.858E-01
2.1271389E+00,5.04338E+01,3.0182E+01,3.2477E+03,1.0520E+01,3.2582E+03,0.000E-01,5.829E-01
2.1377746E+00,5.07027E+01,2.9966E+01,3.2084E+03,1.0514E+01,3.2189E+03,0.000E-01,5.800E-01
2.1484635E+00,5.09498E+01,2.9752E+01,3.1696E+03,1.0508E+01,3.1801E+03,0.000E-01,5.771E-01
2.1592058E+00,5.11743E+01,2.9539E+01,3.1313E+03,1.0502E+01,3.1418E+03,0.000E-01,5.742E-01
2.1700018E+00,5.13749E+01,2.9328E+01,3.0934E+03,1.0496E+01,3.1039E+03,0.000E-01,5.714E-01
2.1808519E+00,5.15496E+01,2.9118E+01,3.0560E+03,1.0489E+01,3.0665E+03,0.000E-01,5.685E-01
2.1917561E+00,5.16957E+01,2.8910E+01,3.0191E+03,1.0483E+01,3.0296E+03,0.000E-01,5.657E-01
2.2027149E+00,5.18086E+01,2.8704E+01,2.9826E+03,1.0476E+01,2.9931E+03,0.000E-01,5.629E-01
2.2137285E+00,5.18817E+01,2.8499E+01,2.9466E+03,1.0469E+01,2.9571E+03,0.000E-01,5.601E-01
2.2247971E+00,5.19041E+01,2.8296E+01,2.9110E+03,1.0462E+01,2.9215E+03,0.000E-01,5.573E-01
2.2359211E+00,5.18573E+01,2.8094E+01,2.8759E+03,1.0455E+01,2.8863E+03,0.000E-01,5.545E-01
2.2471007E+00,5.17061E+01,2.7893E+01,2.8411E+03,1.0448E+01,2.8516E+03,0.000E-01,5.518E-01
2.2583362E+00,5.13704E+01,2.7695E+01,2.8069E+03,1.0440E+01,2.8173E+03,0.000E-01,5.490E-01
2.2696279E+00,5.05932E+01,2.7497E+01,2.7730E+03,1.0433E+01,2.7834E+03,0.000E-01,5.463E-01
2.2786505E+00,4.83982E+01,2.7341E+01,2.7464E+03,1.0426E+01,2.7568E+03,0.000E-01,5.441E-01
2.2809760E+00,4.13917E+01,2.7301E+01,2.7396E+03,1.0425E+01,2.7500E+03,0.000E-01,5.436E-01
2.2833493E+00,4.84449E+01,3.2090E+01,3.2167E+03,1.0423E+01,3.2271E+03,0.000E-01,5.430E-01
2.2923809E+00,5.11010E+01,3.1891E+01,3.1841E+03,1.0417E+01,3.1946E+03,0.000E-01,5.409E-01
2.3038428E+00,5.24327E+01,3.1641E+01,3.1435E+03,1.0409E+01,3.1539E+03,0.000E-01,5.382E-01
