E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0089931E+00,2.94126E+01,7.1156E+00,2.2796E+03,4.8099E+00,2.2845E+03,0.000E-01,6.171E-01
2.0190381E+00,2.94320E+01,7.0632E+00,2.2516E+03,4.8049E+00,2.2564E+03,0.000E-01,6.141E-01
2.0291333E+00,2.94510E+01,7.0112E+00,2.2239E+03,4.7999E+00,2.2287E+03,0.000E-01,6.110E-01
2.0392790E+00,2.94697E+01,6.9596E+00,2.1965E+03,4.7948E+00,2.2013E+03,0.000E-01,6.080E-01
2.0494754E+00,2.96021E+01,6.9060E+00,2.1688E+03,4.7896E+00,2.1736E+03,0.000E-01,6.050E-01
2.0597227E+00,2.96199E+01,6.8528E+00,2.1414E+03,4.7843E+00,2.1462E+03,0.000E-01,6.019E-01
2.0700213E+00,2.96373E+01,6.8000E+00,2.1143E+03,4.7790E+00,2.1191E+03,0.000E-01,5.990E-01
2.0803714E+00,2.96541E+01,6.7476E+00,2.0876E+03,4.7736E+00,2.0923E+03,0.000E-01,5.960E-01
2.0907733E+00,2.97278E+01,6.6950E+00,2.0610E+03,4.7681E+00,2.0658E+03,0.000E-01,5.930E-01
2.1012272E+00,2.97436E+01,6.6423E+00,2.0346E+03,4.7625E+00,2.0394E+03,0.000E-01,5.901E-01
2.1117333E+00,2.97589E+01,6.5900E+00,2.0085E+03,4.7569E+00,2.0133E+03,0.000E-01,5.871E-01
2.1222920E+00,2.97737E+01,6.5380E+00,1.9828E+03,4.7512E+00,1.9875E+03,0.000E-01,5.842E-01
2.1329034E+00,2.97879E+01,6.4865E+00,1.9574E+03,4.7455E+00,1.9621E+03,0.000E-01,5.813E-01
2.1435680E+00,2.98017E+01,6.4354E+00,1.9323E+03,4.7396E+00,1.9370E+03,0.000E-01,5.784E-01
2.1542858E+00,2.98149E+01,6.3847E+00,1.9075E+03,4.7337E+00,1.9123E+03,0.000E-01,5.755E-01
2.1650572E+00,2.98278E+01,6.3345E+00,1.8831E+03,4.7278E+00,1.8878E+03,0.000E-01,5.727E-01
2.1758825E+00,2.98401E+01,6.2846E+00,1.8590E+03,4.7217E+00,1.8637E+03,0.000E-01,5.698E-01
2.1867619E+00,2.98521E+01,6.2351E+00,1.8352E+03,4.7156E+00,1.8399E+03,0.000E-01,5.670E-01
2.1976957E+00,2.98637E+01,6.1860E+00,1.8117E+03,4.7094E+00,1.8164E+03,0.000E-01,5.642E-01
2.2086842E+00,2.98748E+01,6.1373E+00,1.7885E+03,4.7032E+00,1.7932E+03,0.000E-01,5.613E-01
2.2197276E+00,2.98856E+01,6.0890E+00,1.7655E+03,4.6969E+00,1.7702E+03,0.000E-01,5.586E-01
2.2308263E+00,2.98960E+01,6.0411E+00,1.7429E+03,4.6905E+00,1.7476E+03,0.000E-01,5.558E-01
2.2419804E+00,2.99061E+01,5.9935E+00,1.7206E+03,4.6840E+00,1.7253E+03,0.000E-01,5.530E-01
2.2531903E+00,2.99158E+01,5.9464E+00,1.6986E+03,4.6775E+00,1.7033E+03,0.000E-01,5.503E-01
2.2644562E+00,2.99252E+01,5.8996E+00,1.6769E+03,4.6710E+00,1.6815E+03,0.000E-01,5.475E-01
2.2757785E+00,2.99343E+01,5.8532E+00,1.6554E+03,4.6643E+00,1.6601E+03,0.000E-01,5.448E-01
2.2871574E+00,2.99430E+01,5.8072E+00,1.6342E+03,4.6576E+00,1.6389E+03,0.000E-01,5.421E-01
2.2985932E+00,2.99515E+01,5.7616E+00,1.6133E+03,4.6508E+00,1.6179E+03,0.000E-01,5.394E-01
2.3100862E+00,2.99596E+01,5.7163E+00,1.5927E+03,4.6440E+00,1.5973E+03,0.000E-01,5.367E-01
2.3216366E+00,2.99675E+01,5.6714E+00,1.5723E+03,4.6371E+00,1.5769E+03,0.000E-01,5.340E-01
2.3332448E+00,2.99751E+01,5.6269E+00,1.5522E+03,4.6301E+00,1.5568E+03,0.000E-01,5.314E-01
2.3449110E+00,2.99824E+01,5.5827E+00,1.5323E+03,4.6231E+00,1.5370E+03,0.000E-01,5.287E-01
2.3566356E+00,2.99895E+01,5.5389E+00,1.5128E+03,4.6160E+00,1.5174E+03,0.000E-01,5.261E-01
2.3684187E+00,2.99964E+01,5.4955E+00,1.4934E+03,4.6088E+00,1.4980E+03,0.000E-01,5.235E-01
2.3802608E+00,3.00030E+01,5.4524E+00,1.4743E+03,4.6016E+00,1.4789E+03,0.000E-01,5.209E-01
